,ID,CN 1,e_CN 1,CN 2,e_CN 2,Ca4227,e_Ca4227,G4300,e_G 300,Fe4383,e_Fe4383,Ca 4455,e_Ca 4455,Fe 4531,e_Fe 4531,C 24668,e_C 24668,Hb,e_Hb,Fe 5015,e_Fe 5015,Mg1,e_Mg1,Mg2,e_Mg2,Mgb,e_Mgb,Fe5270,e_Fe5270,Fe5335,e_Fe5335,Fe 5406,e_Fe 5406,Fe 5709,e_Fe 5709,Fe 5782,e_Fe 5782,NaD,e_NaD,TiO1,e_TiO1,TiO2,e_TiO2
0,B001-G039,0.003,0.008,0.024,0.01,0.65,0.15,4.92,0.23,2.95,0.34,0.8,0.16,2.48,0.23,2.06,0.32,1.68,0.12,3.48,0.24,0.0522,0.0023,0.1604,0.0027,2.63,0.11,2.02,0.12,1.68,0.13,1.21,0.1,0.69,0.07,0.65,0.07,3.31,0.09,0.0262,0.002,0.0509,0.0016
1,B002-G043,-0.089,0.004,-0.073,0.006,0.05,0.09,0.82,0.15,0.13,0.24,0.07,0.11,0.66,0.17,0.18,0.24,2.55,0.09,0.53,0.2,0.0099,0.002,0.041,0.0023,0.62,0.1,0.44,0.11,0.59,0.13,0.37,0.09,0.08,0.08,0.14,0.08,1.02,0.12,0.0094,0.0022,-0.0029,0.0018
2,B003-G045,-0.075,0.005,-0.057,0.007,0.25,0.1,1.74,0.17,0.71,0.29,0.19,0.13,1.31,0.19,0.3,0.28,2.68,0.11,1.33,0.23,0.0161,0.0023,0.0588,0.0026,0.91,0.11,0.87,0.12,0.77,0.14,0.52,0.1,0.41,0.09,0.24,0.08,1.49,0.13,0.0106,0.0025,-0.0038,0.002
3,B004-G050,0.014,0.005,0.035,0.006,0.56,0.09,4.14,0.14,2.55,0.22,0.76,0.11,2.63,0.15,2.45,0.22,1.78,0.09,3.47,0.18,0.0478,0.0018,0.148,0.0021,2.27,0.08,2.04,0.09,1.66,0.11,1.13,0.08,0.67,0.06,0.41,0.06,2.06,0.09,0.0232,0.0018,0.0372,0.0015
4,B005-G052,0.042,0.005,0.066,0.006,0.65,0.1,4.47,0.15,2.43,0.23,0.51,0.12,2.51,0.17,2.1,0.25,1.48,0.1,3.69,0.21,0.0561,0.0021,0.159,0.0025,2.51,0.1,2.11,0.11,1.64,0.12,1.11,0.09,0.7,0.07,0.54,0.07,2.94,0.09,0.0237,0.002,0.0374,0.0017
5,B006-G058,0.082,0.002,0.11,0.002,0.68,0.04,5.01,0.06,3.08,0.08,0.85,0.04,2.94,0.06,2.73,0.09,1.67,0.04,4.09,0.07,0.0658,0.0007,0.1871,0.0009,3.2,0.03,2.21,0.04,1.88,0.04,1.25,0.03,0.75,0.02,0.61,0.02,2.56,0.03,0.0304,0.0007,0.0486,0.0006
6,B008-G060,0.014,0.003,0.037,0.004,0.62,0.06,4.69,0.09,2.49,0.14,0.75,0.07,2.52,0.1,1.77,0.14,1.75,0.05,3.58,0.11,0.0501,0.0011,0.155,0.0013,2.59,0.05,1.9,0.06,1.65,0.07,1.1,0.05,0.67,0.04,0.45,0.04,1.77,0.05,0.0273,0.0011,0.0421,0.0009
7,B009-G061,-0.074,0.003,-0.051,0.004,0.29,0.07,2.18,0.11,0.74,0.17,0.14,0.09,1.38,0.12,0.54,0.18,2.52,0.07,1.71,0.15,0.016,0.0015,0.0696,0.0017,1.19,0.07,1.13,0.08,1.1,0.09,0.51,0.07,0.36,0.06,0.3,0.05,0.86,0.08,0.0115,0.0016,0.0046,0.0013
8,B010-G062,-0.086,0.004,-0.062,0.005,0.23,0.08,1.82,0.13,0.77,0.2,0.1,0.1,1.04,0.14,0.37,0.21,2.62,0.08,1.48,0.17,0.0162,0.0017,0.0606,0.0019,0.87,0.08,0.75,0.09,0.73,0.1,0.35,0.08,0.23,0.06,0.11,0.06,1.7,0.08,0.0026,0.0017,0.0022,0.0014
9,B011-G063,-0.061,0.006,-0.039,0.007,0.44,0.12,2.2,0.2,0.96,0.3,0.25,0.15,1.61,0.22,0.86,0.33,2.26,0.13,2.27,0.27,0.0263,0.0027,0.0827,0.0031,1.26,0.13,1.39,0.14,0.97,0.17,0.63,0.12,0.33,0.1,0.38,0.09,1.47,0.12,0.019,0.0027,0.0005,0.0023
10,B012-G064,-0.068,0.001,-0.046,0.002,0.21,0.03,1.81,0.04,0.43,0.06,0.15,0.03,1.09,0.05,0.46,0.07,2.4,0.03,1.44,0.06,0.0142,0.0006,0.0531,0.0007,0.66,0.03,0.87,0.03,0.74,0.04,0.38,0.03,0.23,0.02,0.17,0.02,1.67,0.03,0.0075,0.0006,-0.0017,0.0005
11,B013-G065,-0.001,0.008,0.028,0.009,0.7,0.14,4.99,0.22,2.54,0.36,0.84,0.16,3.09,0.22,2.49,0.32,1.89,0.12,3.2,0.25,0.0539,0.0026,0.1658,0.0031,2.81,0.12,2.18,0.13,2.0,0.15,1.24,0.11,0.76,0.1,0.55,0.09,1.84,0.14,0.0286,0.0027,0.0477,0.0021
12,B015-V204,0.157,0.018,0.191,0.022,0.9,0.3,5.29,0.45,4.09,0.68,1.29,0.29,3.79,0.39,5.46,0.54,1.93,0.21,5.51,0.41,0.1303,0.0042,0.2954,0.005,4.35,0.19,2.67,0.2,2.56,0.22,1.65,0.16,0.84,0.13,0.98,0.12,5.15,0.17,0.0416,0.0035,0.0843,0.0028
13,B016-G066,0.002,0.005,0.023,0.006,0.64,0.09,4.65,0.13,2.12,0.21,0.67,0.1,2.65,0.14,2.12,0.2,1.69,0.08,3.52,0.16,0.0482,0.0016,0.1538,0.0019,2.52,0.07,1.86,0.08,1.79,0.09,1.01,0.07,0.73,0.06,0.57,0.05,2.96,0.07,0.0268,0.0015,0.047,0.0013
14,B017-G070,-0.012,0.002,0.012,0.003,0.56,0.05,3.77,0.07,1.89,0.11,0.58,0.05,2.24,0.08,1.71,0.11,1.83,0.04,3.2,0.09,0.0493,0.0009,0.1419,0.001,2.27,0.04,1.84,0.04,1.49,0.05,0.96,0.04,0.57,0.03,0.59,0.03,2.99,0.03,0.0217,0.0007,0.0396,0.0006
15,B019-G072,0.026,0.001,0.054,0.002,0.6,0.03,3.91,0.04,2.38,0.06,0.66,0.03,2.62,0.05,1.88,0.07,1.86,0.03,3.56,0.06,0.052,0.0006,0.1523,0.0007,2.35,0.03,1.93,0.03,1.62,0.03,1.07,0.02,0.66,0.02,0.53,0.02,2.99,0.02,0.0207,0.0005,0.0378,0.0004
16,B020-G073,0.008,0.001,0.034,0.001,0.47,0.02,3.67,0.04,2.01,0.05,0.59,0.03,2.31,0.04,1.81,0.06,2.03,0.02,3.19,0.05,0.0473,0.0005,0.1372,0.0006,2.16,0.02,1.75,0.03,1.54,0.03,1.01,0.02,0.59,0.02,0.46,0.02,2.01,0.02,0.0218,0.0005,0.0318,0.0004
17,B020D-G089,-0.095,0.007,-0.08,0.008,0.22,0.13,1.77,0.21,0.09,0.33,-0.11,0.16,0.85,0.23,0.18,0.33,2.74,0.12,1.24,0.26,0.0135,0.0025,0.0494,0.0028,0.56,0.12,0.65,0.13,0.53,0.15,0.29,0.11,0.24,0.08,0.37,0.08,2.98,0.11,0.005,0.0023,0.0027,0.0019
18,B021-G075,0.023,0.009,0.037,0.011,0.81,0.17,5.47,0.25,2.34,0.39,0.89,0.17,2.82,0.24,2.8,0.33,1.73,0.13,4.03,0.25,0.07,0.0025,0.2019,0.0029,3.1,0.11,2.21,0.12,1.95,0.14,1.25,0.1,0.74,0.08,0.78,0.07,3.94,0.1,0.0436,0.0021,0.0772,0.0017
19,B022-G074,-0.087,0.004,-0.068,0.004,0.17,0.07,1.47,0.12,-0.06,0.19,0.11,0.09,0.79,0.13,0.32,0.19,2.74,0.07,0.97,0.16,0.0162,0.0016,0.0499,0.0018,0.67,0.07,0.79,0.08,0.69,0.1,0.32,0.07,0.17,0.06,0.14,0.06,1.26,0.08,0.0091,0.0016,-0.0016,0.0013
20,B023-G078,0.033,0.001,0.06,0.002,0.53,0.03,3.98,0.04,2.44,0.06,0.66,0.03,2.44,0.04,2.0,0.06,1.81,0.03,3.46,0.05,0.0544,0.0005,0.1557,0.0006,2.45,0.02,1.98,0.03,1.59,0.03,1.04,0.02,0.7,0.02,0.73,0.02,3.67,0.02,0.0266,0.0005,0.0422,0.0004
21,B024-G082,0.047,0.004,0.074,0.004,0.69,0.06,4.51,0.1,2.89,0.15,0.89,0.07,2.86,0.11,2.62,0.15,1.65,0.06,3.83,0.12,0.0586,0.0013,0.1743,0.0015,2.96,0.06,2.09,0.06,1.73,0.07,1.19,0.06,0.73,0.04,0.57,0.04,2.22,0.06,0.0368,0.0012,0.0537,0.001
22,B025-G084,-0.081,0.006,-0.056,0.007,0.39,0.12,2.47,0.19,0.62,0.29,0.35,0.14,1.64,0.21,1.39,0.3,2.6,0.11,2.26,0.24,0.034,0.0024,0.0892,0.0028,1.2,0.11,0.92,0.13,1.0,0.15,0.5,0.11,0.4,0.08,0.09,0.08,3.14,0.1,0.0088,0.0022,0.0038,0.0018
23,B026-G086,0.058,0.005,0.084,0.006,0.66,0.1,5.39,0.15,3.28,0.22,0.78,0.1,3.06,0.14,3.61,0.2,1.58,0.08,4.38,0.16,0.0768,0.0017,0.2193,0.002,3.65,0.08,2.2,0.08,2.09,0.09,1.54,0.07,0.75,0.06,0.66,0.05,2.66,0.08,0.0424,0.0016,0.0812,0.0013
24,B027-G087,-0.062,0.005,-0.034,0.007,0.34,0.11,2.43,0.18,0.72,0.27,0.31,0.14,1.64,0.2,1.11,0.3,2.26,0.12,2.04,0.25,0.0263,0.0025,0.0831,0.0029,1.04,0.12,1.18,0.13,1.14,0.15,0.59,0.11,0.3,0.09,0.23,0.08,3.1,0.11,0.0102,0.0024,0.0132,0.0021
25,B028-G088,-0.097,0.004,-0.08,0.005,0.12,0.08,0.84,0.14,-0.05,0.21,0.0,0.1,0.5,0.16,0.51,0.23,2.69,0.09,0.71,0.19,0.018,0.0019,0.0398,0.0021,0.46,0.09,0.46,0.1,0.31,0.12,0.34,0.09,0.05,0.07,0.06,0.07,3.3,0.09,0.0105,0.0019,-0.0042,0.0016
26,B029-G090,0.067,0.005,0.096,0.006,0.73,0.09,5.36,0.14,3.09,0.22,0.96,0.1,3.0,0.15,3.76,0.21,1.65,0.08,4.43,0.17,0.0899,0.0018,0.2257,0.0021,3.71,0.08,2.45,0.09,2.21,0.1,1.52,0.07,0.85,0.06,0.71,0.06,4.42,0.07,0.0318,0.0016,0.066,0.0014
27,B030-G091,0.103,0.009,0.132,0.011,0.57,0.15,5.42,0.23,3.34,0.34,0.93,0.15,3.3,0.21,3.61,0.28,1.48,0.11,4.57,0.21,0.0847,0.0021,0.2242,0.0024,3.66,0.09,2.44,0.1,2.14,0.11,1.43,0.08,0.93,0.06,0.84,0.06,5.27,0.08,0.0369,0.0016,0.07,0.0013
28,B031-G092,0.03,0.012,0.046,0.015,0.82,0.22,4.93,0.34,2.47,0.52,0.79,0.23,2.98,0.32,2.67,0.45,1.78,0.17,4.08,0.34,0.056,0.0034,0.1619,0.0039,2.49,0.16,2.09,0.17,1.99,0.19,1.13,0.14,0.74,0.11,0.57,0.1,4.7,0.14,0.0262,0.003,0.0403,0.0024
29,B032-G093,0.03,0.007,0.048,0.009,0.72,0.13,4.46,0.19,2.4,0.31,0.54,0.14,2.57,0.19,2.23,0.27,1.78,0.11,3.71,0.21,0.0569,0.0021,0.1726,0.0024,2.89,0.1,1.96,0.1,1.72,0.12,1.08,0.09,0.79,0.07,0.64,0.06,3.32,0.09,0.0337,0.0019,0.0676,0.0015
30,B033-G095,-0.085,0.009,-0.068,0.011,0.12,0.17,1.81,0.28,0.39,0.45,0.13,0.21,1.49,0.3,1.78,0.44,2.87,0.17,2.07,0.35,0.0261,0.0035,0.0661,0.004,0.85,0.17,0.7,0.18,0.98,0.21,0.45,0.16,0.33,0.12,0.08,0.12,3.16,0.17,0.01,0.0034,-0.0004,0.0028
31,B034-G096,0.021,0.005,0.045,0.006,0.69,0.09,4.59,0.14,2.41,0.21,0.75,0.11,2.82,0.16,2.24,0.23,1.67,0.09,3.99,0.19,0.0606,0.002,0.1749,0.0023,2.95,0.09,2.11,0.1,1.76,0.12,1.12,0.09,0.79,0.07,0.49,0.06,2.52,0.08,0.0326,0.0019,0.0543,0.0016
32,B035,-0.015,0.004,0.01,0.004,0.74,0.07,4.14,0.11,2.01,0.16,0.71,0.08,2.46,0.11,1.81,0.16,1.82,0.06,3.66,0.13,0.0487,0.0013,0.1414,0.0016,2.17,0.06,1.92,0.07,1.62,0.08,1.04,0.06,0.68,0.05,0.46,0.04,1.8,0.06,0.0281,0.0013,0.0535,0.0011
33,B036,0.004,0.005,0.024,0.006,0.72,0.09,4.55,0.14,1.94,0.22,0.58,0.11,2.67,0.15,2.27,0.21,1.52,0.08,3.57,0.17,0.0467,0.0017,0.1561,0.002,2.77,0.08,1.94,0.09,1.54,0.1,1.08,0.08,0.78,0.06,0.51,0.06,2.71,0.08,0.0279,0.0017,0.0464,0.0014
34,B037-V327,0.038,0.016,0.078,0.02,0.7,0.27,3.82,0.41,2.56,0.61,0.6,0.25,1.61,0.34,1.72,0.43,1.64,0.15,3.65,0.26,0.1004,0.0024,0.1903,0.0026,2.43,0.11,2.02,0.11,1.39,0.12,1.0,0.08,0.81,0.05,1.04,0.05,4.09,0.06,0.0287,0.0013,0.0584,0.001
35,B038-G098,-0.061,0.003,-0.04,0.004,0.16,0.06,2.24,0.09,0.6,0.15,0.12,0.07,1.05,0.1,0.07,0.15,2.4,0.06,1.55,0.12,0.0166,0.0012,0.0612,0.0013,0.86,0.05,0.83,0.06,0.78,0.07,0.36,0.05,0.25,0.04,0.27,0.04,2.66,0.05,0.0069,0.001,0.0063,0.0009
36,B039-G101,0.012,0.003,0.036,0.004,0.63,0.06,4.22,0.1,2.47,0.15,0.62,0.07,2.52,0.1,1.81,0.15,1.73,0.06,3.47,0.11,0.0557,0.0011,0.1619,0.0013,2.51,0.05,1.87,0.06,1.55,0.06,1.05,0.05,0.69,0.03,0.63,0.03,3.41,0.04,0.0259,0.0009,0.0433,0.0008
37,B041D,-0.042,0.019,-0.025,0.024,0.66,0.34,3.1,0.57,1.82,0.85,0.68,0.38,1.61,0.56,2.93,0.75,2.75,0.28,1.64,0.56,0.028,0.0054,0.082,0.006,1.12,0.25,0.77,0.27,0.73,0.32,0.64,0.22,0.33,0.17,0.36,0.16,3.45,0.22,0.0017,0.0045,0.0075,0.0036
38,B042-G104,-0.002,0.005,0.023,0.006,0.41,0.09,3.33,0.14,1.71,0.21,0.39,0.1,2.37,0.14,1.79,0.2,2.22,0.07,3.05,0.15,0.0532,0.0015,0.1381,0.0017,1.97,0.07,1.63,0.07,1.46,0.08,0.87,0.06,0.57,0.04,0.48,0.04,3.49,0.05,0.0114,0.0011,0.0266,0.0009
39,B044-G107,0.012,0.004,0.035,0.005,0.8,0.08,4.39,0.13,2.25,0.19,0.63,0.09,2.54,0.13,1.67,0.19,1.76,0.07,3.63,0.14,0.0498,0.0015,0.1511,0.0017,2.4,0.07,1.99,0.07,1.57,0.08,1.1,0.06,0.62,0.05,0.57,0.04,3.64,0.06,0.0225,0.0012,0.0456,0.001
40,B045-G108,-0.013,0.002,0.009,0.003,0.66,0.04,4.42,0.07,2.17,0.11,0.58,0.05,2.36,0.08,1.66,0.11,1.68,0.04,3.17,0.09,0.0448,0.0009,0.1412,0.0011,2.29,0.04,1.76,0.05,1.53,0.05,0.97,0.04,0.64,0.03,0.47,0.03,2.28,0.04,0.0223,0.0008,0.0317,0.0007
41,B045D,0.047,0.028,0.08,0.035,0.38,0.51,5.55,0.78,4.99,1.18,0.88,0.55,3.07,0.73,5.38,1.01,1.29,0.42,5.84,0.79,0.0906,0.0083,0.2248,0.0099,3.37,0.39,2.28,0.4,2.45,0.46,1.14,0.34,0.69,0.29,0.91,0.27,2.03,0.43,0.0429,0.0081,0.0908,0.0063
42,B046-G109,-0.053,0.007,-0.03,0.008,0.32,0.13,3.28,0.21,0.39,0.35,0.19,0.16,1.81,0.22,0.93,0.32,2.43,0.12,2.49,0.26,0.0345,0.0026,0.1001,0.003,1.32,0.12,1.57,0.13,1.17,0.16,0.69,0.12,0.47,0.1,0.41,0.09,1.31,0.15,0.0171,0.0028,0.0187,0.0022
43,B047-G111,-0.081,0.005,-0.059,0.006,0.29,0.1,2.15,0.16,0.31,0.26,0.23,0.12,1.4,0.17,0.71,0.25,2.51,0.1,1.67,0.21,0.0212,0.002,0.0701,0.0023,0.92,0.1,0.95,0.11,0.77,0.13,0.16,0.09,0.26,0.08,0.18,0.07,1.32,0.11,0.0074,0.0022,0.0059,0.0018
44,B048-G110,0.005,0.004,0.03,0.005,0.69,0.08,4.75,0.13,2.42,0.2,0.68,0.1,2.71,0.14,2.28,0.21,1.65,0.08,3.31,0.17,0.0625,0.0017,0.1646,0.002,2.48,0.08,1.73,0.09,1.65,0.1,1.17,0.07,0.61,0.05,0.38,0.05,3.03,0.06,0.0252,0.0014,0.0491,0.0012
45,B050-G113,0.001,0.003,0.024,0.004,0.52,0.07,4.35,0.1,2.26,0.16,0.56,0.08,2.44,0.11,1.86,0.16,1.77,0.06,3.57,0.13,0.049,0.0013,0.1489,0.0015,2.32,0.06,1.74,0.07,1.59,0.08,0.96,0.06,0.6,0.04,0.46,0.04,2.57,0.06,0.0298,0.0012,0.046,0.001
46,B051-G114,0.024,0.004,0.047,0.004,0.5,0.07,4.9,0.11,2.38,0.17,0.67,0.08,2.61,0.11,1.87,0.16,1.7,0.06,3.38,0.13,0.0578,0.0013,0.158,0.0015,2.49,0.06,1.84,0.07,1.52,0.07,1.0,0.06,0.73,0.04,0.64,0.04,3.15,0.05,0.0262,0.0011,0.0448,0.0009
47,B054-G115,0.081,0.01,0.096,0.012,0.84,0.18,5.78,0.27,4.23,0.4,1.12,0.19,3.22,0.27,5.02,0.38,1.75,0.16,4.83,0.32,0.1026,0.0033,0.2547,0.004,4.14,0.15,2.65,0.16,2.23,0.19,1.6,0.14,1.0,0.11,0.82,0.11,3.51,0.15,0.0418,0.0032,0.0612,0.0026
48,B055-G116,0.111,0.007,0.134,0.009,1.07,0.13,5.38,0.19,4.13,0.27,1.22,0.13,3.33,0.18,4.89,0.24,1.48,0.1,4.71,0.19,0.1069,0.0019,0.2592,0.0022,4.15,0.08,2.7,0.09,2.32,0.1,1.66,0.07,1.07,0.06,0.83,0.05,5.11,0.07,0.0363,0.0015,0.0665,0.0012
49,B056-G117,0.131,0.007,0.165,0.008,0.84,0.12,5.73,0.19,4.25,0.27,1.33,0.13,3.19,0.19,6.57,0.26,1.49,0.11,4.77,0.22,0.1242,0.0023,0.2933,0.0028,4.78,0.1,2.81,0.11,2.54,0.13,1.74,0.09,0.88,0.08,0.83,0.07,4.53,0.1,0.0453,0.0021,0.0835,0.0018
50,B057-G118,-0.078,0.007,-0.051,0.009,0.14,0.15,1.78,0.24,0.18,0.39,-0.1,0.19,1.27,0.28,1.4,0.41,2.51,0.16,0.95,0.35,0.0135,0.0035,0.0512,0.004,0.62,0.17,0.49,0.19,0.62,0.22,0.3,0.16,0.28,0.13,0.06,0.13,1.53,0.18,0.0043,0.0036,-0.0021,0.0031
51,B058-G119,-0.032,0.002,-0.007,0.002,0.45,0.03,3.01,0.06,1.38,0.08,0.43,0.04,2.06,0.06,0.83,0.09,2.15,0.04,2.75,0.08,0.029,0.0008,0.0999,0.0009,1.54,0.04,1.58,0.04,1.25,0.05,0.79,0.04,0.5,0.03,0.32,0.03,1.87,0.03,0.0109,0.0007,0.0146,0.0006
52,B059-G120,-0.003,0.005,0.016,0.006,0.47,0.1,3.54,0.16,1.85,0.24,0.57,0.12,1.88,0.17,1.46,0.24,2.07,0.09,2.69,0.19,0.0433,0.0018,0.1269,0.0021,1.79,0.09,1.64,0.09,1.3,0.11,0.83,0.08,0.56,0.06,0.43,0.05,3.51,0.07,0.0199,0.0015,0.0208,0.0013
53,B060-G121,-0.08,0.003,-0.057,0.004,0.17,0.06,1.48,0.1,0.0,0.15,0.11,0.07,0.87,0.11,0.56,0.16,2.52,0.06,1.08,0.14,0.0212,0.0013,0.0632,0.0015,0.81,0.06,0.77,0.07,0.72,0.09,0.37,0.06,0.17,0.05,0.11,0.05,1.43,0.06,0.0085,0.0014,0.0026,0.0012
54,B061-G122,0.045,0.004,0.073,0.005,0.64,0.07,4.89,0.11,2.77,0.17,0.76,0.08,2.61,0.12,2.2,0.17,1.43,0.07,3.86,0.13,0.0682,0.0013,0.1841,0.0015,2.9,0.06,2.11,0.06,1.68,0.07,1.2,0.05,0.78,0.04,0.78,0.04,2.57,0.05,0.0308,0.0011,0.0584,0.0009
55,B063-G124,0.012,0.003,0.037,0.003,0.51,0.05,4.19,0.08,2.36,0.12,0.55,0.06,2.37,0.09,1.59,0.13,1.76,0.05,3.44,0.1,0.05,0.001,0.149,0.0012,2.31,0.05,1.86,0.05,1.49,0.06,0.92,0.04,0.7,0.03,0.65,0.03,2.65,0.04,0.0282,0.0008,0.0514,0.0007
56,B064-G125,-0.056,0.002,-0.035,0.003,0.34,0.05,2.29,0.08,0.81,0.12,0.2,0.06,1.52,0.09,0.88,0.13,2.43,0.05,1.72,0.11,0.0264,0.0011,0.0839,0.0012,1.29,0.05,1.22,0.06,0.92,0.07,0.59,0.05,0.41,0.04,0.27,0.04,1.57,0.05,0.0112,0.001,0.0076,0.0009
57,B064D-NB6,-0.037,0.007,-0.012,0.009,0.48,0.14,2.69,0.24,1.14,0.37,0.22,0.19,1.6,0.29,0.72,0.42,2.48,0.17,3.02,0.35,0.0282,0.0035,0.0949,0.004,1.26,0.16,1.48,0.19,1.11,0.22,0.75,0.16,0.53,0.13,0.26,0.13,2.53,0.16,0.0084,0.0036,0.0102,0.003
58,B065-G126,-0.022,0.01,0.005,0.012,0.55,0.19,3.75,0.31,1.14,0.48,0.38,0.23,1.7,0.34,1.81,0.49,1.86,0.2,2.89,0.41,0.0432,0.0042,0.1152,0.0049,1.86,0.2,1.81,0.22,1.38,0.25,0.85,0.19,0.54,0.15,0.15,0.14,1.9,0.19,0.0194,0.0041,0.0207,0.0034
59,B067-G129,-0.055,0.005,-0.024,0.007,0.24,0.11,2.62,0.18,0.9,0.28,0.27,0.14,1.51,0.21,0.62,0.31,2.4,0.12,2.08,0.26,0.0216,0.0026,0.07,0.003,1.05,0.12,1.05,0.14,0.99,0.16,0.37,0.12,0.2,0.09,0.05,0.09,1.26,0.12,0.0055,0.0026,0.0056,0.0022
60,B068-G130,0.109,0.004,0.139,0.005,0.8,0.08,5.22,0.12,3.8,0.17,1.06,0.09,3.25,0.12,3.69,0.17,1.62,0.07,4.48,0.13,0.0844,0.0014,0.2326,0.0016,3.79,0.06,2.53,0.07,2.21,0.08,1.46,0.06,0.76,0.04,0.78,0.04,5.28,0.05,0.0309,0.0012,0.0658,0.001
