,ID,CN 1,e_CN 1,CN 2,e_CN 2,Ca4227,e_Ca4227,G4300,e_G 300,Fe4383,e_Fe4383,Ca 4455,e_Ca 4455,Fe 4531,e_Fe 4531,C 24668,e_C 24668,Hb,e_Hb,Fe 5015,e_Fe 5015,Mg1,e_Mg1,Mg2,e_Mg2,Mgb,e_Mgb,Fe5270,e_Fe5270,Fe5335,e_Fe5335,Fe 5406,e_Fe 5406,Fe 5709,e_Fe 5709,Fe 5782,e_Fe 5782,NaD,e_NaD,TiO1,e_TiO1,TiO2,e_TiO2
61,B068D,0.044,0.026,0.065,0.032,0.96,0.45,4.14,0.75,1.69,1.15,0.41,0.54,2.68,0.76,2.99,1.09,1.92,0.43,3.44,0.89,0.0346,0.0089,0.1671,0.0105,2.85,0.41,2.44,0.45,1.81,0.54,0.88,0.4,0.48,0.33,0.76,0.3,3.35,0.44,0.0483,0.009,0.0647,0.0075
62,B070-G133,-0.07,0.004,-0.042,0.004,0.13,0.07,1.68,0.12,0.51,0.18,0.06,0.09,0.96,0.14,1.27,0.2,2.51,0.08,1.39,0.17,0.0272,0.0017,0.0717,0.0019,0.93,0.08,0.71,0.09,0.6,0.1,0.35,0.08,0.22,0.06,0.19,0.06,2.97,0.07,0.0072,0.0016,0.0072,0.0013
63,B071,0.155,0.014,0.191,0.017,1.06,0.23,5.62,0.35,4.26,0.52,0.99,0.26,3.32,0.36,4.7,0.51,1.97,0.21,4.45,0.42,0.0998,0.0044,0.2514,0.0053,4.11,0.2,2.38,0.22,2.6,0.25,1.74,0.18,1.03,0.15,0.98,0.14,4.07,0.19,0.0286,0.0041,0.0621,0.0035
64,B072,0.029,0.008,0.061,0.01,0.93,0.15,4.99,0.23,3.46,0.32,0.76,0.15,2.28,0.21,2.7,0.28,1.79,0.1,3.89,0.2,0.0631,0.0019,0.1852,0.0022,3.0,0.09,1.95,0.09,1.72,0.1,1.18,0.07,0.82,0.05,0.68,0.05,4.2,0.07,0.0311,0.0014,0.063,0.0011
65,B072D,-0.031,0.017,0.0,0.021,0.42,0.33,4.38,0.53,1.1,0.86,0.5,0.38,2.5,0.53,0.74,0.79,2.05,0.3,3.18,0.63,0.0563,0.0064,0.1411,0.0074,2.02,0.3,1.79,0.33,1.32,0.38,0.98,0.28,0.68,0.23,0.26,0.23,2.35,0.34,0.014,0.0066,0.0211,0.0053
66,B073-G134,0.055,0.003,0.082,0.004,0.54,0.07,5.06,0.1,2.98,0.15,0.89,0.08,2.86,0.11,2.78,0.16,1.73,0.07,3.86,0.14,0.0637,0.0014,0.1784,0.0016,3.04,0.06,2.22,0.07,1.75,0.08,1.21,0.06,0.78,0.05,0.53,0.05,2.49,0.06,0.0292,0.0013,0.0474,0.0011
67,B074-G135,-0.081,0.003,-0.057,0.004,0.22,0.06,2.05,0.1,0.19,0.16,0.17,0.07,1.37,0.11,0.63,0.16,2.59,0.06,1.76,0.13,0.0248,0.0013,0.0769,0.0015,1.1,0.06,1.03,0.07,0.81,0.08,0.51,0.06,0.33,0.05,0.15,0.05,1.93,0.06,0.0123,0.0013,0.004,0.0011
68,B075-G136,-0.063,0.009,-0.034,0.011,0.35,0.18,2.57,0.29,1.5,0.45,0.04,0.22,1.72,0.31,1.4,0.44,2.14,0.17,2.25,0.35,0.0348,0.0035,0.104,0.004,1.45,0.16,1.1,0.18,1.17,0.21,0.67,0.15,0.47,0.12,0.46,0.12,3.01,0.17,0.0133,0.0034,0.0145,0.0027
69,B076-G138,-0.056,0.004,-0.032,0.005,0.33,0.08,2.58,0.14,0.89,0.21,0.42,0.11,1.66,0.16,0.97,0.23,2.39,0.09,1.89,0.19,0.0277,0.0019,0.0868,0.0022,1.27,0.09,1.31,0.1,1.01,0.12,0.63,0.09,0.41,0.07,0.23,0.07,2.41,0.08,0.0087,0.0019,0.0041,0.0016
70,B077-G139,0.023,0.006,0.046,0.007,0.69,0.11,4.43,0.17,2.17,0.25,0.64,0.12,2.49,0.17,2.5,0.24,1.53,0.09,3.67,0.19,0.0567,0.0019,0.1591,0.0022,2.54,0.09,1.92,0.09,1.53,0.11,1.0,0.08,0.64,0.06,0.25,0.06,3.11,0.07,0.0205,0.0016,0.0392,0.0013
71,B078-G140,-0.015,0.028,0.026,0.034,0.58,0.49,3.17,0.75,3.57,1.05,0.56,0.48,1.47,0.68,2.85,0.86,2.02,0.3,2.2,0.59,0.0435,0.0056,0.1247,0.0063,1.44,0.26,1.77,0.27,1.2,0.31,0.62,0.22,0.53,0.15,0.56,0.15,3.17,0.19,0.0036,0.004,0.0166,0.0032
72,B078D,0.054,0.045,0.105,0.054,0.5,0.83,4.67,1.23,4.54,1.67,1.92,0.82,2.73,1.12,3.03,1.56,1.18,0.58,4.74,1.12,0.097,0.0113,0.2343,0.0132,3.67,0.51,2.51,0.55,1.97,0.61,1.57,0.44,0.74,0.35,0.69,0.33,3.78,0.46,0.0587,0.0094,0.1378,0.0077
73,B080-G141,-0.076,0.021,-0.043,0.026,0.17,0.39,2.2,0.63,1.23,0.98,0.34,0.44,1.41,0.63,-0.13,0.89,2.54,0.32,2.46,0.64,0.0314,0.0063,0.0771,0.007,0.88,0.29,1.08,0.31,0.8,0.36,0.52,0.26,0.38,0.2,0.39,0.19,3.61,0.26,0.0174,0.0052,0.0145,0.0041
74,B082-G144,0.031,0.004,0.059,0.005,0.6,0.07,4.03,0.11,2.5,0.16,0.72,0.08,2.42,0.11,2.15,0.15,1.89,0.06,3.55,0.11,0.0673,0.0011,0.1692,0.0012,2.55,0.05,1.93,0.05,1.66,0.06,1.16,0.04,0.72,0.03,0.62,0.03,4.03,0.03,0.0239,0.0008,0.0405,0.0006
75,B083-G146,-0.042,0.004,-0.021,0.005,0.36,0.08,3.31,0.13,0.95,0.22,0.42,0.1,1.91,0.14,0.65,0.21,2.26,0.08,2.68,0.17,0.0346,0.0017,0.1,0.002,1.55,0.08,1.39,0.09,1.25,0.11,0.69,0.08,0.42,0.06,0.36,0.06,2.1,0.09,0.0089,0.0018,0.0126,0.0015
76,B084,-0.03,0.019,-0.011,0.024,0.33,0.35,2.98,0.55,2.23,0.81,0.53,0.36,2.12,0.51,1.03,0.71,2.02,0.26,2.47,0.5,0.0544,0.0049,0.1477,0.0055,1.99,0.22,1.58,0.24,1.1,0.27,1.05,0.19,0.5,0.15,0.47,0.14,3.83,0.19,0.0143,0.0039,0.02,0.0031
77,B085-G147,-0.083,0.003,-0.062,0.004,0.33,0.06,1.67,0.11,0.18,0.17,0.13,0.08,1.19,0.12,0.82,0.18,2.59,0.07,1.29,0.15,0.0164,0.0015,0.0585,0.0017,0.77,0.07,0.85,0.08,0.72,0.09,0.48,0.07,0.19,0.05,0.2,0.05,1.27,0.07,0.0087,0.0015,0.0002,0.0013
78,B086-G148,-0.064,0.003,-0.043,0.004,0.24,0.06,2.02,0.1,0.58,0.15,0.13,0.08,1.1,0.12,0.26,0.17,2.41,0.07,1.32,0.14,0.0157,0.0014,0.0548,0.0016,0.75,0.07,0.68,0.08,0.76,0.09,0.35,0.07,0.27,0.05,0.12,0.05,1.22,0.06,0.0075,0.0014,0.0013,0.0012
79,B087,-0.026,0.011,0.002,0.014,0.45,0.21,3.61,0.34,2.03,0.55,0.37,0.25,1.68,0.36,1.28,0.51,2.12,0.2,2.89,0.4,0.0359,0.004,0.1155,0.0046,2.0,0.19,1.66,0.2,1.33,0.24,0.77,0.17,0.58,0.14,0.56,0.13,1.58,0.21,0.0136,0.0039,0.0212,0.0032
80,B087D,-0.063,0.007,-0.045,0.009,0.3,0.14,3.1,0.23,0.89,0.36,0.33,0.17,2.2,0.25,0.59,0.37,2.41,0.14,2.98,0.3,0.0335,0.003,0.1022,0.0035,1.46,0.14,1.31,0.16,1.24,0.18,0.75,0.14,0.54,0.11,0.29,0.11,1.59,0.15,0.0192,0.0031,0.0284,0.0026
81,B088-G150,-0.074,0.002,-0.054,0.003,0.15,0.04,1.87,0.07,0.58,0.11,0.07,0.06,0.89,0.08,0.65,0.11,2.3,0.04,1.28,0.09,0.0155,0.0009,0.0596,0.001,0.8,0.04,0.8,0.05,0.64,0.05,0.31,0.04,0.3,0.03,0.45,0.03,2.95,0.03,0.0079,0.0008,0.0049,0.0006
82,B090,0.048,0.01,0.075,0.013,0.54,0.19,4.86,0.3,2.5,0.46,0.89,0.21,2.93,0.3,2.18,0.43,1.3,0.17,4.37,0.34,0.0664,0.0036,0.1715,0.0042,2.88,0.17,1.93,0.18,1.5,0.21,1.28,0.16,0.75,0.13,0.61,0.12,2.36,0.18,0.0228,0.0036,0.028,0.0029
83,B090D,0.148,0.01,0.191,0.012,0.73,0.19,5.37,0.28,4.71,0.39,1.25,0.21,3.29,0.3,5.73,0.44,1.65,0.19,5.27,0.4,0.1056,0.0041,0.2779,0.0051,4.71,0.19,2.42,0.21,2.23,0.24,1.59,0.18,0.66,0.15,0.94,0.14,4.23,0.19,0.0508,0.0043,0.0892,0.0038
84,B092-G152,-0.04,0.005,-0.013,0.006,0.58,0.09,3.14,0.15,1.6,0.22,0.44,0.11,1.85,0.17,1.55,0.25,2.47,0.1,2.87,0.21,0.0474,0.0021,0.1363,0.0025,2.15,0.1,1.48,0.11,1.42,0.13,0.98,0.1,0.67,0.07,0.41,0.07,2.19,0.09,0.0201,0.002,0.0234,0.0017
85,B092D,0.161,0.065,0.206,0.077,1.76,1.02,5.16,1.56,10.05,1.7,2.6,0.91,4.59,1.27,10.8,1.72,1.17,0.75,6.37,1.44,0.2206,0.0157,0.3763,0.019,4.64,0.72,3.9,0.7,2.76,0.79,1.9,0.6,1.68,0.45,1.03,0.43,7.29,0.58,0.0458,0.0127,0.064,0.0106
86,B093-G155,-0.024,0.009,0.008,0.011,0.21,0.17,3.35,0.27,1.38,0.44,0.42,0.2,2.36,0.29,-0.15,0.42,2.12,0.16,2.53,0.33,0.0309,0.0033,0.1022,0.0037,1.54,0.15,1.22,0.17,1.21,0.19,0.59,0.14,0.36,0.11,0.3,0.1,1.83,0.14,0.0131,0.003,0.0179,0.0024
87,B094-G156,0.084,0.002,0.112,0.002,0.66,0.04,4.97,0.06,3.13,0.08,0.95,0.04,2.96,0.06,3.21,0.09,1.58,0.03,4.33,0.07,0.0724,0.0007,0.2015,0.0009,3.34,0.03,2.35,0.04,2.03,0.04,1.35,0.03,0.79,0.02,0.64,0.02,2.98,0.03,0.0305,0.0007,0.0584,0.0006
88,B095-G157,-0.052,0.004,-0.031,0.005,0.26,0.07,2.33,0.12,0.7,0.18,0.26,0.09,1.61,0.13,0.44,0.18,2.34,0.07,2.01,0.14,0.0242,0.0014,0.0756,0.0015,1.12,0.06,0.99,0.07,1.02,0.08,0.59,0.06,0.43,0.04,0.15,0.04,3.2,0.05,0.0126,0.0012,0.0068,0.001
89,B096-G158,0.106,0.01,0.131,0.012,0.7,0.17,5.26,0.25,3.59,0.36,0.92,0.17,3.47,0.23,3.64,0.31,1.57,0.12,4.67,0.22,0.0813,0.0022,0.2267,0.0026,3.62,0.1,2.52,0.1,2.16,0.12,1.42,0.09,0.87,0.06,0.77,0.06,4.99,0.07,0.0357,0.0016,0.0694,0.0013
90,B097-G159,-0.027,0.005,-0.003,0.006,0.54,0.09,3.5,0.15,1.9,0.22,0.5,0.11,2.11,0.16,1.22,0.23,2.09,0.09,2.52,0.18,0.0431,0.0018,0.1199,0.0021,1.72,0.09,1.73,0.09,1.2,0.11,0.95,0.08,0.56,0.06,0.51,0.06,3.37,0.07,0.0156,0.0017,0.0226,0.0014
91,B098,0.015,0.003,0.041,0.004,0.62,0.06,4.3,0.09,2.25,0.13,0.69,0.07,2.5,0.1,1.92,0.15,1.71,0.06,3.39,0.12,0.0443,0.0012,0.1407,0.0014,2.31,0.06,1.93,0.06,1.51,0.07,1.09,0.05,0.65,0.04,0.47,0.04,1.88,0.05,0.0223,0.0012,0.0349,0.001
92,B099-G161,-0.05,0.004,-0.025,0.005,0.31,0.08,2.71,0.13,0.85,0.21,0.43,0.1,1.83,0.15,0.5,0.23,2.3,0.09,2.25,0.19,0.026,0.0019,0.0932,0.0022,1.43,0.09,1.2,0.1,1.0,0.12,0.49,0.09,0.45,0.07,0.25,0.07,1.5,0.09,0.0135,0.002,0.0166,0.0017
93,B100-G163,0.006,0.007,0.017,0.009,0.57,0.14,5.22,0.22,2.3,0.35,0.68,0.16,2.76,0.22,2.88,0.32,1.71,0.13,2.99,0.27,0.0573,0.0027,0.1512,0.0032,2.43,0.13,1.52,0.14,1.6,0.16,1.13,0.12,0.54,0.1,0.45,0.09,2.29,0.13,0.0194,0.0027,0.0301,0.0022
94,B101-G164,-0.01,0.004,0.017,0.005,0.37,0.09,3.2,0.14,1.61,0.21,0.58,0.11,2.07,0.16,1.11,0.23,2.17,0.09,3.04,0.19,0.0434,0.002,0.1242,0.0023,1.94,0.09,1.64,0.1,1.27,0.12,0.79,0.09,0.48,0.07,0.4,0.07,1.86,0.09,0.0188,0.002,0.0269,0.0017
95,B103-G165,0.083,0.002,0.114,0.003,0.64,0.04,4.96,0.06,3.3,0.09,0.89,0.05,2.99,0.07,3.55,0.09,1.69,0.04,4.31,0.08,0.0697,0.0008,0.201,0.0009,3.34,0.04,2.28,0.04,1.95,0.04,1.31,0.03,0.78,0.03,0.59,0.02,4.03,0.03,0.0312,0.0007,0.059,0.0006
96,B103D-G245,0.012,0.007,0.036,0.008,0.53,0.13,4.36,0.2,2.51,0.3,0.76,0.15,2.86,0.22,2.66,0.31,1.85,0.13,3.48,0.26,0.0502,0.0027,0.1647,0.0032,2.65,0.12,1.96,0.14,1.54,0.16,1.08,0.12,0.56,0.1,0.48,0.09,2.22,0.13,0.0287,0.0027,0.0572,0.0023
97,B104-NB5,-0.062,0.014,-0.028,0.018,0.23,0.28,2.17,0.46,1.67,0.7,-0.29,0.38,1.75,0.55,0.85,0.81,2.56,0.31,1.24,0.68,0.0166,0.0067,0.0689,0.0076,0.72,0.32,0.87,0.36,1.13,0.43,0.43,0.32,0.44,0.25,0.17,0.24,1.83,0.32,0.0141,0.0069,0.0112,0.0057
98,B105-G166,-0.019,0.004,0.002,0.006,0.57,0.09,4.68,0.14,2.5,0.21,0.58,0.1,2.47,0.15,1.28,0.21,1.69,0.08,3.33,0.17,0.0462,0.0017,0.1392,0.002,2.2,0.08,1.66,0.09,1.26,0.1,1.04,0.08,0.62,0.06,0.46,0.06,2.2,0.08,0.0207,0.0017,0.0356,0.0014
99,B106-G168,0.027,0.004,0.052,0.005,0.73,0.08,4.68,0.12,2.53,0.18,0.85,0.09,2.65,0.13,2.7,0.19,1.72,0.07,3.97,0.15,0.0577,0.0015,0.1719,0.0018,2.87,0.07,2.02,0.08,1.83,0.09,1.16,0.07,0.68,0.05,0.57,0.05,2.46,0.06,0.0349,0.0014,0.061,0.0012
100,B107-G169,-0.011,0.002,0.015,0.003,0.46,0.05,3.23,0.07,1.56,0.11,0.49,0.06,2.11,0.08,1.51,0.12,2.22,0.04,2.85,0.09,0.0358,0.0009,0.1172,0.0011,1.76,0.04,1.63,0.05,1.4,0.06,0.92,0.04,0.54,0.03,0.41,0.03,3.39,0.04,0.0151,0.0008,0.0189,0.0007
101,B108-G167,0.099,0.017,0.128,0.02,0.74,0.3,5.13,0.47,4.1,0.68,0.87,0.33,3.17,0.46,4.03,0.65,1.75,0.27,5.89,0.53,0.0928,0.0056,0.2384,0.0066,3.89,0.25,3.01,0.28,2.38,0.31,1.65,0.23,0.97,0.19,0.81,0.18,3.2,0.25,0.0473,0.0053,0.0689,0.0044
102,B109-G170,0.134,0.008,0.173,0.01,0.83,0.15,5.5,0.23,3.88,0.34,1.04,0.17,3.28,0.24,4.88,0.34,1.83,0.14,5.17,0.28,0.1022,0.0029,0.261,0.0035,4.43,0.13,2.54,0.15,2.24,0.17,1.66,0.12,0.86,0.1,0.73,0.09,3.94,0.12,0.0416,0.0028,0.0879,0.0024
103,B110-G172,0.017,0.002,0.046,0.002,0.62,0.04,3.89,0.06,2.32,0.09,0.73,0.05,2.61,0.07,2.27,0.1,1.97,0.04,3.63,0.09,0.0534,0.0009,0.1619,0.001,2.56,0.04,2.0,0.05,1.77,0.05,1.17,0.04,0.67,0.03,0.52,0.03,2.39,0.04,0.0291,0.0008,0.048,0.0007
104,B110D-V296,-0.052,0.015,-0.032,0.019,0.33,0.3,2.98,0.46,0.1,0.74,0.09,0.33,2.56,0.46,1.73,0.65,2.33,0.25,3.2,0.52,0.0382,0.0053,0.1113,0.0061,1.4,0.25,0.89,0.28,1.19,0.32,0.57,0.24,0.46,0.19,0.49,0.19,2.36,0.26,0.0066,0.0054,0.0097,0.0044
105,B111-G173,-0.07,0.003,-0.045,0.004,0.34,0.07,2.33,0.11,0.64,0.17,0.28,0.09,1.48,0.13,0.38,0.19,2.48,0.07,2.07,0.16,0.018,0.0016,0.0745,0.0018,1.18,0.07,1.32,0.08,0.94,0.1,0.64,0.07,0.26,0.05,0.27,0.05,1.51,0.07,0.006,0.0015,0.002,0.0013
106,B112-G174,0.174,0.009,0.208,0.011,1.11,0.15,5.42,0.23,5.51,0.3,1.7,0.15,3.72,0.21,6.84,0.29,1.38,0.12,5.34,0.23,0.1455,0.0024,0.3345,0.003,5.46,0.11,3.22,0.12,2.82,0.13,2.1,0.1,1.03,0.07,0.94,0.07,5.09,0.09,0.0415,0.002,0.0903,0.0017
107,B114-G175,-0.095,0.009,-0.068,0.011,0.17,0.18,0.86,0.31,0.52,0.48,0.02,0.25,0.8,0.38,0.12,0.56,3.19,0.21,1.93,0.47,0.0154,0.0047,0.0469,0.0053,0.37,0.22,0.45,0.26,0.57,0.31,0.37,0.22,0.02,0.18,0.23,0.17,1.51,0.23,0.0192,0.0049,0.0083,0.0041
108,B115-G177,0.175,0.004,0.211,0.005,0.97,0.07,5.44,0.11,4.75,0.15,1.32,0.08,3.56,0.11,5.61,0.16,0.88,0.07,2.0,0.14,0.1183,0.0014,0.2894,0.0017,4.72,0.06,2.9,0.07,2.59,0.08,1.79,0.06,0.98,0.05,0.8,0.04,5.0,0.05,0.0397,0.0013,0.0759,0.0011
109,B116-G178,0.029,0.005,0.057,0.006,0.57,0.09,4.46,0.14,2.93,0.22,0.66,0.1,2.42,0.14,1.74,0.2,1.55,0.08,3.86,0.15,0.0679,0.0015,0.1771,0.0017,2.61,0.07,2.18,0.07,1.64,0.08,1.04,0.06,0.8,0.04,1.03,0.04,3.73,0.05,0.0221,0.0012,0.0505,0.0009
110,B117-G176,-0.068,0.004,-0.049,0.005,0.3,0.08,2.18,0.13,0.39,0.2,0.2,0.1,1.1,0.15,0.1,0.23,2.38,0.09,1.91,0.19,0.0188,0.0019,0.0647,0.0022,0.94,0.09,0.91,0.1,0.63,0.12,0.45,0.09,0.14,0.07,0.16,0.07,1.08,0.09,0.0087,0.002,-0.0033,0.0017
111,B119-NB14,0.011,0.017,0.034,0.021,0.74,0.31,3.89,0.52,1.85,0.82,0.81,0.4,2.27,0.6,3.15,0.86,1.74,0.34,3.67,0.71,0.0461,0.0072,0.1441,0.0083,2.58,0.33,1.69,0.38,1.72,0.44,1.25,0.32,0.19,0.25,0.49,0.24,2.94,0.31,0.012,0.0069,0.0393,0.0058
112,B122-G181,-0.065,0.012,-0.052,0.015,0.45,0.23,3.83,0.35,1.48,0.56,0.48,0.24,2.22,0.34,0.93,0.47,1.46,0.17,3.01,0.34,0.0509,0.0033,0.1432,0.0037,2.01,0.15,1.35,0.16,1.22,0.18,0.94,0.13,0.6,0.1,0.74,0.09,3.64,0.12,0.0242,0.0025,0.0381,0.002
113,B123-G182,0.009,0.013,0.026,0.017,0.61,0.25,3.66,0.4,1.8,0.64,0.19,0.31,2.38,0.44,1.34,0.64,1.75,0.25,2.87,0.52,0.0487,0.0052,0.1445,0.0061,2.19,0.24,1.96,0.27,1.79,0.31,1.17,0.23,0.6,0.18,0.55,0.18,2.12,0.24,0.031,0.0052,0.0363,0.0043
114,B124-NB10,0.08,0.003,0.115,0.003,0.65,0.05,4.29,0.08,3.01,0.11,0.91,0.06,2.99,0.08,2.73,0.12,1.83,0.05,4.0,0.1,0.0567,0.001,0.174,0.0012,3.12,0.05,2.19,0.05,1.95,0.06,1.39,0.05,0.83,0.04,0.69,0.03,2.8,0.04,0.0315,0.001,0.0595,0.0008
115,B125-G183,-0.071,0.004,-0.05,0.004,0.27,0.07,2.32,0.12,0.68,0.18,0.2,0.09,1.56,0.14,0.77,0.2,2.5,0.08,1.42,0.17,0.019,0.0017,0.0742,0.0019,1.15,0.08,0.98,0.09,0.87,0.1,0.42,0.08,0.32,0.06,0.15,0.06,0.95,0.08,0.0104,0.0017,0.0009,0.0014
116,B126-G184,-0.056,0.009,-0.026,0.012,0.06,0.19,2.42,0.31,0.72,0.5,0.21,0.25,1.35,0.38,-0.14,0.56,2.09,0.22,1.49,0.47,0.0255,0.0047,0.0832,0.0053,1.23,0.22,1.02,0.25,0.81,0.3,0.34,0.22,0.44,0.17,0.34,0.17,1.88,0.23,0.0155,0.005,0.0068,0.0042
117,B127-G185,0.024,0.002,0.05,0.002,0.61,0.03,3.85,0.05,2.25,0.07,0.64,0.04,2.41,0.06,1.86,0.08,1.93,0.03,3.26,0.06,0.0473,0.0006,0.1495,0.0008,2.49,0.03,2.04,0.03,1.67,0.04,1.06,0.03,0.68,0.02,0.49,0.02,3.09,0.03,0.0226,0.0006,0.0392,0.0005
118,B128-G187,0.056,0.006,0.087,0.007,0.85,0.11,4.64,0.17,2.9,0.26,0.85,0.13,2.75,0.19,2.69,0.27,1.69,0.11,3.95,0.22,0.0617,0.0023,0.1875,0.0027,3.06,0.11,2.18,0.12,1.82,0.14,1.41,0.1,0.77,0.08,0.61,0.08,2.52,0.1,0.0339,0.0023,0.0609,0.002
119,B129,0.012,0.017,0.021,0.021,0.41,0.29,3.52,0.43,2.41,0.59,0.76,0.27,2.72,0.35,2.58,0.45,2.04,0.15,3.52,0.27,0.0644,0.0026,0.1628,0.0029,2.33,0.11,1.83,0.12,1.55,0.13,1.13,0.09,0.66,0.06,0.64,0.06,5.1,0.07,0.027,0.0016,0.0477,0.0013
120,B130-G188,-0.059,0.005,-0.037,0.007,0.43,0.1,2.68,0.17,0.8,0.26,0.24,0.13,1.7,0.18,1.38,0.26,2.53,0.1,2.6,0.21,0.0223,0.0021,0.1006,0.0024,1.4,0.1,1.35,0.11,1.03,0.12,0.65,0.09,0.51,0.07,0.35,0.07,2.97,0.09,0.0121,0.0019,0.0092,0.0016
121,B131-G189,0.028,0.004,0.056,0.006,0.54,0.09,4.11,0.14,2.16,0.21,0.63,0.11,2.7,0.16,2.45,0.24,1.9,0.09,3.95,0.19,0.06,0.002,0.1668,0.0023,2.56,0.09,1.91,0.1,1.74,0.12,0.98,0.09,0.63,0.07,0.48,0.07,2.43,0.08,0.0257,0.0019,0.0393,0.0016
122,B132-NB15,0.164,0.026,0.192,0.031,0.66,0.45,4.83,0.69,6.35,0.9,1.28,0.5,2.81,0.71,6.91,0.97,1.17,0.41,4.52,0.82,0.1309,0.0086,0.309,0.0104,4.61,0.39,2.23,0.43,1.82,0.49,1.66,0.36,1.34,0.27,0.65,0.26,5.17,0.31,0.0444,0.0075,0.0836,0.0064
123,B134-G190,-0.013,0.005,0.012,0.007,0.39,0.1,4.53,0.16,2.16,0.25,0.53,0.13,2.41,0.18,1.96,0.26,1.85,0.1,2.92,0.21,0.0463,0.0021,0.1215,0.0024,1.76,0.1,1.68,0.11,1.41,0.13,0.83,0.09,0.56,0.07,0.36,0.07,1.87,0.09,0.0214,0.002,0.0337,0.0017
