,ID,CN 1,e_CN 1,CN 2,e_CN 2,Ca4227,e_Ca4227,G4300,e_G 300,Fe4383,e_Fe4383,Ca 4455,e_Ca 4455,Fe 4531,e_Fe 4531,C 24668,e_C 24668,Hb,e_Hb,Fe 5015,e_Fe 5015,Mg1,e_Mg1,Mg2,e_Mg2,Mgb,e_Mgb,Fe5270,e_Fe5270,Fe5335,e_Fe5335,Fe 5406,e_Fe 5406,Fe 5709,e_Fe 5709,Fe 5782,e_Fe 5782,NaD,e_NaD,TiO1,e_TiO1,TiO2,e_TiO2
124,B135-G192,-0.061,0.002,-0.04,0.003,0.17,0.05,2.11,0.07,0.54,0.11,0.19,0.06,1.01,0.09,0.11,0.13,2.38,0.05,1.12,0.1,0.0201,0.001,0.0624,0.0012,0.81,0.05,0.83,0.05,0.61,0.06,0.41,0.05,0.21,0.03,0.22,0.03,2.85,0.04,0.0058,0.0009,0.0015,0.0008
125,B136-G194,-0.064,0.01,-0.044,0.012,0.25,0.19,2.4,0.32,0.78,0.51,0.17,0.26,1.43,0.38,0.66,0.56,2.43,0.22,2.24,0.46,0.0222,0.0046,0.0901,0.0052,1.29,0.21,1.54,0.24,1.0,0.29,0.45,0.22,0.23,0.17,0.02,0.16,2.15,0.21,0.0027,0.0047,-0.0024,0.0039
126,B137-G195,-0.073,0.008,-0.043,0.01,0.21,0.16,2.05,0.25,1.2,0.39,0.32,0.18,1.62,0.27,0.1,0.38,2.38,0.14,2.02,0.29,0.0308,0.0028,0.0881,0.0032,1.2,0.13,1.05,0.15,0.78,0.17,0.68,0.12,0.52,0.09,0.46,0.09,2.79,0.12,0.0118,0.0025,0.0178,0.002
127,B138,0.147,0.015,0.183,0.018,0.86,0.26,5.51,0.4,4.42,0.58,1.01,0.3,2.49,0.44,5.23,0.6,1.92,0.25,4.47,0.52,0.0976,0.0053,0.2678,0.0064,4.26,0.24,2.58,0.27,2.67,0.3,1.43,0.23,0.81,0.18,0.95,0.17,3.95,0.22,0.043,0.0049,0.0694,0.0041
128,B140-G196,0.104,0.022,0.153,0.027,0.99,0.37,5.08,0.6,4.84,0.88,1.34,0.41,3.56,0.57,3.64,0.82,1.97,0.33,6.37,0.65,0.101,0.0069,0.2116,0.0082,4.23,0.31,2.53,0.34,2.63,0.39,1.56,0.29,0.81,0.24,0.42,0.23,3.57,0.32,0.0409,0.0067,0.0528,0.0055
129,B141-G197,-0.069,0.005,-0.044,0.006,0.36,0.09,2.32,0.15,0.78,0.23,0.2,0.11,1.56,0.16,0.67,0.23,2.36,0.09,2.1,0.18,0.019,0.0018,0.0748,0.0021,1.23,0.09,1.05,0.09,0.89,0.11,0.48,0.08,0.39,0.06,0.3,0.06,2.95,0.08,0.0133,0.0017,0.0081,0.0014
130,B143-G198,0.132,0.004,0.166,0.004,0.95,0.06,5.09,0.1,4.2,0.14,1.27,0.07,3.28,0.1,4.74,0.14,1.64,0.06,5.15,0.12,0.0975,0.0012,0.2602,0.0015,4.25,0.06,2.77,0.06,2.42,0.07,1.77,0.05,0.9,0.04,0.82,0.04,4.15,0.05,0.0388,0.0011,0.0739,0.001
131,B144,0.129,0.012,0.162,0.015,1.05,0.22,5.76,0.34,3.97,0.5,1.37,0.25,3.47,0.36,4.13,0.52,1.67,0.21,4.98,0.42,0.0706,0.0043,0.2331,0.0052,4.26,0.19,2.94,0.22,2.6,0.25,1.42,0.19,0.87,0.14,0.79,0.14,3.6,0.18,0.0432,0.004,0.0695,0.0034
132,B145,-0.019,0.024,0.007,0.03,0.36,0.45,3.91,0.74,1.85,1.19,0.66,0.57,2.28,0.81,0.27,1.21,1.51,0.47,3.53,0.96,0.0395,0.0099,0.1235,0.0114,2.28,0.45,0.9,0.52,1.55,0.6,0.52,0.45,0.57,0.36,0.54,0.34,0.83,0.49,0.007,0.01,0.0091,0.0082
133,B146,0.034,0.01,0.059,0.013,0.65,0.2,4.31,0.31,3.03,0.47,0.7,0.24,2.39,0.35,1.52,0.52,2.0,0.2,3.44,0.42,0.0566,0.0043,0.1542,0.005,2.43,0.2,1.66,0.23,1.28,0.26,0.87,0.19,0.56,0.15,0.48,0.15,1.99,0.2,0.0229,0.0042,0.0402,0.0036
134,B147-G199,0.136,0.004,0.17,0.005,0.92,0.07,5.24,0.11,4.21,0.15,1.26,0.08,3.35,0.11,4.8,0.16,1.54,0.07,5.0,0.13,0.093,0.0014,0.2556,0.0016,4.34,0.06,2.71,0.07,2.43,0.08,1.65,0.06,0.91,0.04,0.76,0.04,4.32,0.05,0.0355,0.0012,0.0703,0.001
135,B148-G200,-0.03,0.002,-0.005,0.003,0.37,0.04,2.87,0.07,1.18,0.11,0.48,0.06,1.95,0.08,1.44,0.12,2.15,0.05,2.39,0.1,0.0312,0.001,0.104,0.0011,1.58,0.05,1.43,0.05,1.31,0.06,0.73,0.04,0.43,0.03,0.33,0.03,2.15,0.04,0.013,0.0009,0.0128,0.0008
136,B149-G201,-0.052,0.005,-0.03,0.006,0.34,0.09,2.39,0.15,1.11,0.22,0.22,0.11,1.46,0.15,0.42,0.22,2.43,0.08,2.02,0.17,0.023,0.0017,0.0803,0.0019,1.2,0.08,1.15,0.09,1.02,0.1,0.54,0.07,0.43,0.06,0.3,0.05,3.38,0.07,0.0089,0.0015,0.0082,0.0012
137,B150-G203,0.104,0.005,0.136,0.007,0.76,0.1,5.35,0.15,3.68,0.21,1.11,0.11,3.0,0.15,3.43,0.21,1.68,0.09,4.48,0.17,0.0805,0.0018,0.224,0.0021,3.69,0.08,2.57,0.09,2.11,0.1,1.47,0.07,0.79,0.06,0.66,0.05,3.09,0.07,0.0369,0.0016,0.0688,0.0013
138,B151-G205,0.049,0.004,0.075,0.005,0.66,0.07,4.33,0.11,2.27,0.16,0.78,0.08,2.83,0.11,2.7,0.16,1.73,0.06,3.85,0.12,0.0645,0.0012,0.1757,0.0014,2.7,0.06,2.17,0.06,1.84,0.07,1.23,0.05,0.68,0.04,0.61,0.04,3.64,0.04,0.0267,0.001,0.0517,0.0008
139,B152-G207,0.021,0.006,0.05,0.007,0.56,0.12,4.41,0.19,2.55,0.28,0.71,0.14,2.49,0.21,3.17,0.3,1.67,0.12,3.6,0.25,0.049,0.0025,0.1574,0.0029,2.74,0.11,1.99,0.13,1.62,0.15,1.09,0.11,0.55,0.09,0.45,0.08,1.88,0.11,0.025,0.0023,0.0386,0.002
140,B153,0.12,0.006,0.15,0.008,0.83,0.11,4.89,0.18,4.18,0.26,1.01,0.13,3.03,0.19,3.26,0.28,1.72,0.11,4.49,0.23,0.0756,0.0023,0.219,0.0028,3.79,0.11,2.6,0.12,2.09,0.13,1.52,0.1,0.83,0.08,0.56,0.07,3.35,0.1,0.0367,0.0021,0.0667,0.0018
141,B154-G208,0.104,0.013,0.14,0.015,0.91,0.22,5.55,0.35,4.22,0.51,0.84,0.26,3.16,0.36,2.72,0.53,1.72,0.21,4.85,0.43,0.0784,0.0044,0.2147,0.0053,3.67,0.2,2.64,0.22,2.31,0.26,1.3,0.19,0.88,0.15,0.72,0.15,3.19,0.2,0.0349,0.0043,0.0548,0.0036
142,B155-G210,0.08,0.009,0.114,0.01,0.78,0.15,4.96,0.24,3.09,0.37,0.87,0.17,2.58,0.25,3.55,0.35,1.59,0.14,4.47,0.29,0.0703,0.003,0.2001,0.0036,3.41,0.14,2.11,0.15,1.99,0.17,1.26,0.13,0.71,0.11,0.59,0.1,2.99,0.15,0.0385,0.003,0.0691,0.0025
143,B156-G211,-0.046,0.003,-0.019,0.004,0.35,0.06,2.8,0.11,1.11,0.16,0.27,0.08,2.05,0.12,1.18,0.17,2.46,0.07,2.3,0.14,0.0305,0.0014,0.099,0.0017,1.51,0.07,1.28,0.08,1.15,0.09,0.73,0.07,0.44,0.05,0.27,0.05,1.95,0.07,0.0151,0.0015,0.0116,0.0012
144,B157-G212,-0.093,0.007,-0.07,0.009,-0.03,0.14,-0.05,0.24,-0.18,0.37,0.01,0.18,0.61,0.28,0.63,0.41,3.01,0.16,-0.06,0.35,0.0128,0.0034,0.0373,0.0038,0.53,0.16,0.22,0.18,0.42,0.22,-0.13,0.16,0.15,0.13,0.13,0.13,1.41,0.18,0.0068,0.0037,0.0011,0.0031
145,B158-G213,0.031,0.002,0.058,0.002,0.58,0.03,3.81,0.05,2.45,0.07,0.65,0.04,2.53,0.05,2.0,0.08,1.72,0.03,3.39,0.06,0.0435,0.0007,0.143,0.0008,2.34,0.03,1.87,0.03,1.59,0.04,1.1,0.03,0.63,0.02,0.48,0.02,2.35,0.03,0.018,0.0006,0.0375,0.0005
146,B159,-0.01,0.017,0.006,0.021,0.76,0.32,3.27,0.51,1.49,0.8,0.47,0.36,2.66,0.5,1.08,0.71,2.16,0.26,3.01,0.53,0.0534,0.0053,0.136,0.006,1.86,0.24,1.59,0.26,0.95,0.3,0.66,0.22,0.79,0.17,0.21,0.16,4.01,0.21,0.0201,0.0044,0.0261,0.0036
147,B160-G214,-0.11,0.01,-0.092,0.013,0.3,0.19,1.13,0.33,-0.71,0.56,0.01,0.25,-0.13,0.39,-0.04,0.55,2.84,0.21,0.75,0.46,0.0236,0.0045,0.0517,0.0052,1.03,0.21,0.57,0.24,-0.13,0.3,0.35,0.21,0.14,0.18,-0.06,0.17,1.56,0.26,0.0032,0.0051,-0.0008,0.0041
148,B161-G215,-0.027,0.005,-0.001,0.007,0.38,0.1,3.03,0.17,1.4,0.27,0.26,0.13,1.88,0.19,1.55,0.28,2.32,0.11,2.68,0.23,0.0453,0.0023,0.1186,0.0027,1.71,0.11,1.46,0.12,1.35,0.14,0.73,0.11,0.61,0.08,0.36,0.08,1.72,0.11,0.0165,0.0023,0.0227,0.0019
149,B162-G216,0.061,0.006,0.089,0.007,0.81,0.1,5.63,0.16,3.73,0.24,0.88,0.12,2.93,0.17,3.51,0.24,1.48,0.1,3.89,0.2,0.0809,0.0021,0.2212,0.0025,3.79,0.09,2.22,0.1,2.05,0.12,1.29,0.09,0.74,0.07,0.58,0.07,3.11,0.09,0.0344,0.002,0.0693,0.0017
150,B163-G217,0.115,0.002,0.148,0.002,0.89,0.03,4.92,0.04,4.07,0.06,1.14,0.03,3.31,0.05,4.27,0.07,1.62,0.03,4.86,0.06,0.0906,0.0006,0.2421,0.0007,3.97,0.03,2.68,0.03,2.35,0.03,1.54,0.02,0.9,0.02,0.75,0.02,4.27,0.02,0.036,0.0005,0.0673,0.0004
151,B164-V253,0.12,0.02,0.17,0.024,1.13,0.34,4.97,0.54,3.51,0.79,1.02,0.39,2.82,0.55,5.17,0.75,1.34,0.32,3.51,0.64,0.0914,0.0065,0.2341,0.0078,3.82,0.3,2.25,0.33,2.4,0.36,1.53,0.27,0.7,0.22,0.77,0.21,3.54,0.3,0.0635,0.0063,0.086,0.0051
152,B165-G218,-0.085,0.004,-0.064,0.004,0.27,0.07,1.23,0.12,0.35,0.17,0.04,0.09,0.88,0.13,0.17,0.19,2.6,0.07,1.21,0.15,0.011,0.0015,0.0491,0.0017,0.69,0.07,0.65,0.08,0.56,0.09,0.34,0.07,0.21,0.05,0.18,0.05,1.34,0.06,0.0076,0.0014,0.0034,0.0012
153,B167,0.093,0.007,0.12,0.009,0.59,0.13,5.5,0.19,3.26,0.29,0.99,0.14,3.04,0.2,3.4,0.29,1.74,0.12,4.32,0.24,0.0783,0.0024,0.2161,0.0029,3.55,0.11,2.4,0.12,2.08,0.14,1.27,0.1,0.74,0.08,0.68,0.08,3.16,0.11,0.0361,0.0023,0.075,0.002
154,B167D,-0.085,0.009,-0.068,0.011,0.4,0.18,1.71,0.3,0.66,0.49,0.31,0.23,1.43,0.34,1.03,0.49,2.47,0.19,2.05,0.4,0.0152,0.0041,0.0586,0.0047,0.8,0.2,0.92,0.22,0.9,0.25,0.77,0.19,0.18,0.16,0.03,0.16,0.74,0.24,0.003,0.0045,0.0029,0.0036
155,B168,0.028,0.011,0.049,0.013,0.77,0.19,4.29,0.29,3.26,0.41,0.76,0.19,2.79,0.25,2.34,0.34,1.75,0.13,3.85,0.24,0.0638,0.0024,0.173,0.0027,2.85,0.11,2.17,0.11,1.73,0.13,1.26,0.09,0.96,0.07,0.84,0.06,3.37,0.09,0.0276,0.0018,0.0542,0.0014
156,B169,0.181,0.014,0.222,0.017,0.97,0.23,5.77,0.34,5.18,0.46,1.45,0.22,3.6,0.31,7.25,0.42,1.45,0.17,5.62,0.34,0.1519,0.0035,0.3375,0.0043,5.24,0.16,3.08,0.17,2.97,0.18,1.84,0.14,0.88,0.11,1.0,0.1,5.45,0.13,0.0469,0.0029,0.0894,0.0025
157,B170-G221,0.02,0.006,0.041,0.007,0.75,0.11,3.89,0.17,1.78,0.27,0.69,0.13,2.44,0.18,1.61,0.27,1.67,0.11,3.26,0.22,0.0431,0.0022,0.1457,0.0026,2.31,0.1,2.0,0.11,1.58,0.13,0.91,0.1,0.72,0.08,0.48,0.07,2.47,0.1,0.0293,0.0021,0.0346,0.0017
158,B171-G222,0.102,0.004,0.135,0.005,0.78,0.08,5.0,0.12,3.59,0.17,1.03,0.09,3.17,0.12,4.04,0.18,1.66,0.07,4.64,0.15,0.0895,0.0016,0.2255,0.0019,3.7,0.07,2.55,0.08,2.18,0.09,1.46,0.07,0.85,0.05,0.79,0.05,3.73,0.06,0.0347,0.0014,0.0672,0.0012
159,B172-G223,0.026,0.004,0.05,0.005,0.81,0.08,4.88,0.13,2.68,0.2,0.75,0.1,2.73,0.14,2.41,0.21,1.84,0.08,3.87,0.18,0.0548,0.0018,0.1759,0.0022,2.96,0.08,2.05,0.09,1.85,0.11,1.23,0.08,0.69,0.06,0.53,0.06,2.53,0.08,0.0348,0.0018,0.0552,0.0015
160,B173-G224,0.01,0.006,0.03,0.008,0.54,0.12,4.72,0.19,2.46,0.3,0.57,0.15,2.84,0.21,2.97,0.31,1.89,0.13,3.41,0.27,0.0567,0.0027,0.1704,0.0032,2.76,0.13,1.79,0.14,1.59,0.16,0.97,0.12,0.68,0.1,0.37,0.09,2.52,0.13,0.0235,0.0027,0.0373,0.0023
161,B174-G226,-0.021,0.004,0.002,0.004,0.38,0.07,2.99,0.12,1.56,0.17,0.39,0.09,1.96,0.13,1.38,0.19,2.07,0.07,2.78,0.15,0.0343,0.0015,0.1063,0.0018,1.57,0.07,1.46,0.08,1.4,0.09,0.83,0.07,0.42,0.05,0.49,0.05,3.18,0.06,0.0106,0.0014,0.0204,0.0012
162,B176-G227,-0.084,0.004,-0.062,0.004,0.2,0.07,1.85,0.12,-0.11,0.18,0.09,0.09,1.13,0.14,-0.24,0.2,2.7,0.08,1.45,0.17,0.0135,0.0016,0.0591,0.0019,0.79,0.08,0.96,0.09,0.73,0.1,0.42,0.08,0.18,0.06,0.2,0.06,1.34,0.08,0.0074,0.0017,0.0007,0.0014
163,B177-G228,-0.089,0.007,-0.066,0.009,0.49,0.13,2.55,0.23,0.72,0.36,0.19,0.17,1.79,0.24,0.84,0.35,2.42,0.14,2.58,0.29,0.0315,0.0029,0.1016,0.0034,1.36,0.14,1.32,0.15,1.13,0.18,0.61,0.13,0.49,0.11,0.39,0.1,0.93,0.15,0.0069,0.003,0.0125,0.0025
164,B178-G229,-0.05,0.002,-0.024,0.002,0.33,0.04,2.62,0.06,0.84,0.09,0.25,0.05,1.64,0.07,1.32,0.11,2.35,0.04,2.16,0.09,0.0357,0.0009,0.0987,0.0011,1.38,0.04,1.33,0.05,1.03,0.06,0.59,0.04,0.37,0.03,0.26,0.03,1.8,0.04,0.0101,0.0009,0.014,0.0008
165,B179-G230,-0.023,0.002,0.003,0.002,0.45,0.04,3.6,0.06,1.73,0.09,0.48,0.05,2.19,0.07,1.78,0.1,2.06,0.04,3.12,0.09,0.0448,0.0009,0.127,0.0011,2.01,0.04,1.57,0.05,1.34,0.06,0.9,0.04,0.56,0.03,0.38,0.03,1.84,0.04,0.0122,0.0009,0.0259,0.0008
166,B180-G231,-0.007,0.002,0.018,0.003,0.57,0.04,3.89,0.07,1.91,0.11,0.49,0.05,2.39,0.08,1.53,0.11,1.87,0.04,3.25,0.09,0.0431,0.0009,0.1302,0.001,1.98,0.04,1.79,0.05,1.47,0.05,0.98,0.04,0.57,0.03,0.42,0.03,2.06,0.04,0.0211,0.0008,0.0355,0.0007
167,B181-G232,0.075,0.005,0.104,0.006,0.7,0.09,5.09,0.14,2.92,0.21,0.92,0.11,2.63,0.16,3.24,0.23,1.74,0.09,3.99,0.19,0.0738,0.002,0.2041,0.0024,3.3,0.09,2.13,0.1,1.95,0.12,1.32,0.09,0.75,0.07,0.5,0.07,2.88,0.09,0.0421,0.002,0.0734,0.0017
168,B181D,-0.053,0.004,-0.037,0.006,0.62,0.09,5.87,0.14,2.39,0.22,0.48,0.11,2.11,0.15,1.58,0.22,1.64,0.09,3.0,0.18,0.0288,0.0018,0.1282,0.0022,2.64,0.09,1.52,0.1,1.39,0.11,0.65,0.08,0.48,0.07,0.28,0.07,0.95,0.1,0.0112,0.0019,0.0013,0.0016
169,B182-G233,-0.03,0.002,-0.003,0.002,0.44,0.04,3.14,0.06,1.42,0.09,0.49,0.05,2.12,0.07,1.58,0.1,2.21,0.04,2.74,0.08,0.0354,0.0008,0.1138,0.0009,1.75,0.04,1.55,0.04,1.34,0.05,0.79,0.04,0.54,0.03,0.43,0.03,2.16,0.03,0.0128,0.0007,0.0239,0.0006
170,B183-G234,0.047,0.003,0.075,0.004,0.81,0.05,4.93,0.08,3.12,0.12,0.91,0.06,2.74,0.09,3.04,0.13,1.66,0.05,4.01,0.1,0.0608,0.001,0.1854,0.0012,3.13,0.05,2.19,0.05,1.91,0.06,1.31,0.04,0.77,0.03,0.59,0.03,2.44,0.04,0.0355,0.0009,0.0633,0.0008
171,B184-G236,0.184,0.008,0.232,0.01,1.01,0.14,5.29,0.2,4.81,0.28,1.41,0.13,3.42,0.19,6.75,0.25,1.4,0.11,5.56,0.21,0.1534,0.0022,0.3291,0.0027,5.07,0.1,3.05,0.11,2.65,0.12,1.9,0.09,0.98,0.07,0.93,0.07,5.27,0.09,0.0392,0.002,0.0751,0.0017
172,B185-G235,0.039,0.002,0.066,0.002,0.68,0.04,4.49,0.06,2.62,0.08,0.78,0.04,2.74,0.06,2.36,0.09,1.69,0.04,3.84,0.08,0.0552,0.0008,0.1657,0.0009,2.73,0.04,2.09,0.04,1.8,0.05,1.21,0.03,0.68,0.03,0.51,0.03,2.51,0.03,0.0324,0.0007,0.0508,0.0006
173,B186,0.233,0.035,0.272,0.042,1.16,0.55,6.25,0.84,4.23,1.16,0.8,0.55,4.09,0.71,10.13,0.94,1.07,0.41,5.49,0.81,0.179,0.0086,0.3633,0.0106,5.26,0.39,2.54,0.4,3.42,0.43,2.34,0.33,0.99,0.27,1.08,0.25,6.03,0.37,0.0386,0.0076,0.0875,0.0064
174,B187-G237,-0.066,0.008,-0.04,0.011,-0.01,0.17,1.84,0.27,0.44,0.41,0.36,0.2,1.65,0.3,0.96,0.43,2.72,0.17,1.61,0.36,0.0301,0.0035,0.0891,0.004,1.25,0.17,0.91,0.18,0.73,0.22,0.47,0.16,0.3,0.12,0.18,0.12,2.75,0.15,0.0038,0.0033,0.0177,0.0027
175,B188-G239,-0.079,0.003,-0.056,0.004,0.21,0.07,1.69,0.11,0.64,0.17,0.32,0.09,1.2,0.13,0.51,0.19,2.56,0.07,1.59,0.16,0.0263,0.0016,0.0761,0.0019,1.18,0.08,0.87,0.09,0.75,0.1,0.34,0.08,0.3,0.06,0.25,0.06,1.36,0.08,0.0052,0.0016,0.0061,0.0014
176,B189-G240,0.213,0.013,0.259,0.015,1.42,0.22,5.59,0.34,6.02,0.44,1.83,0.21,4.24,0.3,10.43,0.41,1.36,0.18,6.37,0.37,0.1932,0.0039,0.3787,0.0049,5.69,0.18,3.25,0.19,3.07,0.21,2.3,0.15,1.06,0.12,1.12,0.12,6.03,0.16,0.0534,0.0035,0.0966,0.003
177,B190-G241,-0.069,0.005,-0.042,0.006,0.4,0.09,2.4,0.15,0.91,0.21,0.34,0.1,1.65,0.15,1.23,0.21,2.54,0.08,2.43,0.17,0.0398,0.0017,0.0988,0.002,1.39,0.08,1.35,0.09,1.07,0.1,0.66,0.08,0.45,0.06,0.25,0.06,2.59,0.08,0.0105,0.0016,0.011,0.0013
178,B193-G244,0.13,0.002,0.165,0.002,0.91,0.03,4.84,0.05,4.09,0.08,1.18,0.04,3.34,0.06,4.05,0.08,1.63,0.03,5.07,0.07,0.094,0.0007,0.2519,0.0008,4.1,0.03,2.72,0.04,2.36,0.04,1.63,0.03,0.97,0.02,0.76,0.02,4.15,0.03,0.0318,0.0006,0.064,0.0005
179,B194-G243,-0.067,0.004,-0.042,0.004,0.36,0.07,2.55,0.12,0.66,0.19,0.22,0.09,1.38,0.14,0.56,0.2,2.41,0.08,1.91,0.17,0.0168,0.0017,0.0697,0.0019,1.02,0.08,1.06,0.09,0.94,0.11,0.62,0.08,0.39,0.06,0.22,0.06,1.18,0.08,0.0031,0.0018,0.0049,0.0015
180,B196-G246,-0.04,0.005,-0.016,0.006,0.4,0.1,3.01,0.16,0.99,0.24,0.23,0.12,1.85,0.17,1.27,0.24,2.09,0.09,2.4,0.2,0.0376,0.002,0.1095,0.0023,1.63,0.09,1.51,0.1,1.24,0.12,0.8,0.09,0.54,0.07,0.37,0.07,1.55,0.09,0.0226,0.0019,0.029,0.0016
181,B197-G247,0.062,0.009,0.097,0.011,0.9,0.16,5.0,0.25,3.4,0.36,0.94,0.17,3.05,0.24,4.21,0.34,1.63,0.14,4.78,0.28,0.0856,0.0029,0.2428,0.0035,3.97,0.13,2.48,0.14,2.07,0.16,1.42,0.12,0.68,0.1,0.53,0.09,3.66,0.13,0.0491,0.0027,0.0966,0.0023
182,B198-G249,-0.01,0.01,0.017,0.013,0.5,0.2,3.62,0.31,1.89,0.46,0.22,0.23,2.27,0.32,1.99,0.44,1.78,0.17,3.65,0.35,0.0387,0.0035,0.1264,0.0041,1.82,0.17,1.35,0.18,1.54,0.21,0.76,0.16,0.67,0.12,0.38,0.12,2.3,0.16,0.0264,0.0034,0.0296,0.0028
183,B199-G248,-0.081,0.004,-0.058,0.004,0.27,0.07,1.77,0.11,0.27,0.18,0.24,0.09,1.36,0.13,0.76,0.18,2.81,0.07,1.86,0.15,0.0166,0.0015,0.0634,0.0017,0.99,0.07,1.02,0.08,0.82,0.09,0.47,0.07,0.36,0.05,0.19,0.05,1.18,0.07,0.011,0.0015,0.0026,0.0012
184,B200,-0.078,0.021,-0.049,0.027,-0.07,0.4,1.77,0.68,-1.02,1.15,0.52,0.49,1.36,0.75,2.37,1.03,3.21,0.39,2.16,0.84,0.0101,0.0083,0.0413,0.0092,0.63,0.38,0.92,0.43,0.96,0.52,0.45,0.37,0.22,0.31,-0.1,0.29,3.01,0.41,-0.0005,0.0084,-0.015,0.0067
185,B201-G250,-0.035,0.002,-0.013,0.003,0.44,0.05,3.41,0.08,1.29,0.12,0.41,0.06,1.93,0.08,1.08,0.12,2.14,0.05,2.33,0.1,0.0285,0.001,0.0999,0.0012,1.18,0.05,1.42,0.06,1.21,0.06,0.74,0.05,0.45,0.04,0.25,0.04,1.2,0.05,0.011,0.0011,0.0113,0.0009
186,B202-G251,-0.041,0.006,-0.026,0.008,0.29,0.12,3.55,0.19,0.78,0.3,0.36,0.14,1.77,0.2,1.13,0.29,1.79,0.11,2.81,0.22,0.0265,0.0022,0.0979,0.0025,1.51,0.1,1.37,0.11,1.1,0.13,0.65,0.1,0.49,0.08,0.27,0.07,1.39,0.1,0.0154,0.0021,0.0225,0.0017
