,ID,CN 1,e_CN 1,CN 2,e_CN 2,Ca4227,e_Ca4227,G4300,e_G 300,Fe4383,e_Fe4383,Ca 4455,e_Ca 4455,Fe 4531,e_Fe 4531,C 24668,e_C 24668,Hb,e_Hb,Fe 5015,e_Fe 5015,Mg1,e_Mg1,Mg2,e_Mg2,Mgb,e_Mgb,Fe5270,e_Fe5270,Fe5335,e_Fe5335,Fe 5406,e_Fe 5406,Fe 5709,e_Fe 5709,Fe 5782,e_Fe 5782,NaD,e_NaD,TiO1,e_TiO1,TiO2,e_TiO2
187,B203-G252,0.011,0.004,0.031,0.004,0.65,0.07,4.32,0.11,2.2,0.17,0.61,0.08,2.62,0.12,2.28,0.17,1.62,0.07,3.59,0.14,0.0485,0.0015,0.147,0.0017,2.38,0.07,1.84,0.07,1.58,0.09,1.1,0.06,0.75,0.05,0.45,0.05,2.03,0.07,0.028,0.0014,0.0344,0.0012
188,B204-G254,0.053,0.002,0.082,0.003,0.67,0.04,4.28,0.07,2.76,0.1,0.76,0.05,2.71,0.08,2.98,0.11,1.77,0.05,3.7,0.09,0.0571,0.001,0.1651,0.0011,2.61,0.05,1.92,0.05,1.79,0.06,1.25,0.04,0.74,0.03,0.55,0.03,2.25,0.04,0.0234,0.0009,0.0412,0.0008
189,B205-G256,-0.028,0.002,-0.003,0.003,0.47,0.05,3.44,0.08,1.54,0.12,0.52,0.06,2.12,0.09,1.72,0.13,2.11,0.05,3.17,0.11,0.045,0.0011,0.1304,0.0013,2.03,0.05,1.63,0.06,1.48,0.07,0.93,0.05,0.51,0.04,0.35,0.04,1.54,0.05,0.019,0.0011,0.0375,0.0009
190,B206-G257,-0.034,0.002,-0.008,0.002,0.39,0.04,2.98,0.06,1.36,0.09,0.39,0.05,1.93,0.07,1.35,0.1,2.33,0.04,2.53,0.09,0.0316,0.0009,0.1069,0.001,1.6,0.04,1.39,0.05,1.23,0.05,0.74,0.04,0.47,0.03,0.32,0.03,1.97,0.04,0.0108,0.0009,0.0163,0.0007
191,B207-G258,-0.056,0.006,-0.038,0.008,0.33,0.13,2.14,0.21,0.46,0.34,0.12,0.16,1.6,0.23,0.94,0.34,2.57,0.13,1.97,0.28,0.0242,0.0029,0.076,0.0033,1.13,0.14,1.16,0.15,1.18,0.18,0.59,0.13,0.5,0.11,0.22,0.11,1.4,0.15,0.0071,0.003,0.0044,0.0025
192,B208-G259,0.031,0.01,0.057,0.013,0.94,0.19,4.82,0.3,3.05,0.44,1.37,0.21,3.25,0.31,3.79,0.45,1.8,0.18,4.89,0.37,0.083,0.0039,0.2105,0.0046,3.28,0.18,2.46,0.19,2.0,0.22,1.37,0.17,0.84,0.13,0.81,0.12,3.76,0.17,0.0404,0.0036,0.0706,0.003
193,B209-G261,-0.03,0.004,-0.008,0.005,0.42,0.07,3.17,0.12,1.19,0.18,0.41,0.09,2.23,0.13,1.51,0.2,2.11,0.08,2.7,0.17,0.0369,0.0017,0.1112,0.0019,1.71,0.08,1.49,0.09,1.39,0.1,0.77,0.08,0.51,0.06,0.34,0.06,1.89,0.07,0.0143,0.0016,0.0218,0.0014
194,B211-G262,-0.068,0.004,-0.043,0.005,0.31,0.08,2.24,0.14,0.7,0.21,0.18,0.11,1.74,0.16,0.3,0.24,2.52,0.09,1.99,0.2,0.0264,0.002,0.0837,0.0023,1.2,0.09,1.02,0.11,0.99,0.12,0.64,0.09,0.38,0.07,0.23,0.07,1.6,0.09,0.0086,0.002,0.0091,0.0017
195,B212-G263,-0.076,0.002,-0.054,0.002,0.16,0.03,1.93,0.06,0.29,0.08,0.15,0.04,1.18,0.06,0.26,0.09,2.47,0.03,1.37,0.08,0.0137,0.0008,0.0589,0.0009,0.87,0.04,0.85,0.04,0.72,0.05,0.38,0.03,0.22,0.03,0.13,0.03,1.63,0.03,0.0075,0.0007,0.0024,0.0006
196,B213-G264,0.027,0.005,0.05,0.006,0.71,0.1,4.65,0.14,1.85,0.19,0.66,0.09,2.71,0.13,2.65,0.18,1.65,0.07,3.62,0.15,0.0634,0.0015,0.1763,0.0018,2.69,0.07,1.76,0.08,1.74,0.09,1.17,0.07,0.77,0.05,0.46,0.05,2.52,0.06,0.0276,0.0014,0.0466,0.0012
197,B214-G265,-0.059,0.006,-0.04,0.007,0.24,0.12,2.12,0.19,0.78,0.29,0.17,0.15,1.62,0.22,1.28,0.32,2.25,0.13,2.01,0.28,0.0291,0.0027,0.0906,0.0032,1.41,0.13,1.15,0.15,1.04,0.17,0.6,0.13,0.43,0.1,0.13,0.1,1.75,0.13,0.0226,0.0028,0.0303,0.0024
198,B215-G266,0.065,0.004,0.094,0.005,0.68,0.08,5.15,0.13,3.35,0.19,0.91,0.1,2.84,0.14,3.13,0.2,1.53,0.08,4.16,0.17,0.0712,0.0018,0.2009,0.0021,3.35,0.08,2.1,0.09,1.87,0.1,1.27,0.08,0.73,0.06,0.58,0.06,2.74,0.08,0.0302,0.0017,0.0554,0.0015
199,B217-G269,-0.009,0.004,0.015,0.005,0.7,0.07,4.32,0.12,2.49,0.18,0.7,0.09,2.67,0.13,1.69,0.2,1.76,0.08,3.8,0.17,0.054,0.0017,0.1526,0.002,2.43,0.08,1.76,0.09,1.56,0.1,1.03,0.08,0.68,0.06,0.51,0.06,1.89,0.08,0.0173,0.0017,0.0469,0.0014
200,B218-G272,0.015,0.001,0.042,0.002,0.53,0.02,3.64,0.04,2.02,0.05,0.61,0.03,2.4,0.04,1.94,0.06,2.0,0.02,3.41,0.05,0.0488,0.0005,0.1449,0.0006,2.32,0.02,1.9,0.03,1.59,0.03,1.0,0.02,0.63,0.02,0.46,0.02,2.54,0.02,0.0245,0.0005,0.0393,0.0004
201,B219-G271,0.026,0.004,0.05,0.004,0.89,0.07,5.1,0.1,2.69,0.15,0.73,0.08,2.87,0.11,2.75,0.15,1.67,0.06,3.85,0.12,0.0615,0.0012,0.1796,0.0014,3.04,0.06,2.27,0.06,1.74,0.07,1.2,0.05,0.7,0.04,0.43,0.04,1.96,0.05,0.0283,0.0011,0.0559,0.0009
202,B220-G275,-0.07,0.005,-0.049,0.007,0.33,0.11,2.38,0.18,0.72,0.29,0.2,0.14,1.36,0.21,0.99,0.3,2.31,0.12,2.2,0.25,0.0245,0.0025,0.0753,0.0029,1.14,0.12,1.07,0.14,0.73,0.16,0.47,0.12,0.67,0.09,0.05,0.09,1.48,0.13,0.0096,0.0027,0.0092,0.0022
203,B221-G276,-0.064,0.005,-0.037,0.006,0.41,0.1,2.57,0.16,0.91,0.24,0.38,0.12,1.76,0.17,1.66,0.25,2.39,0.09,2.11,0.2,0.0365,0.002,0.1122,0.0023,1.59,0.09,1.41,0.1,1.21,0.12,0.68,0.09,0.5,0.07,0.34,0.07,2.29,0.09,0.0166,0.0019,0.0174,0.0016
204,B224-G279,-0.075,0.006,-0.051,0.008,0.11,0.12,1.63,0.21,0.25,0.32,0.06,0.16,0.9,0.23,0.6,0.34,2.28,0.13,1.67,0.28,0.0181,0.0028,0.0635,0.0032,0.93,0.13,0.94,0.15,0.9,0.17,0.47,0.13,0.27,0.1,0.15,0.1,1.05,0.14,0.0079,0.0028,0.0026,0.0023
205,B225-G280,0.082,0.001,0.113,0.002,0.7,0.03,4.35,0.04,3.07,0.06,0.91,0.03,2.96,0.05,2.91,0.07,1.81,0.03,4.33,0.06,0.0697,0.0006,0.1947,0.0007,3.17,0.03,2.33,0.03,1.92,0.03,1.34,0.03,0.79,0.02,0.61,0.02,3.05,0.02,0.0317,0.0005,0.0535,0.0005
206,B228-G281,-0.008,0.006,0.014,0.008,0.78,0.11,4.59,0.17,2.33,0.23,0.68,0.11,2.8,0.15,2.19,0.21,1.5,0.08,3.75,0.17,0.0419,0.0017,0.1532,0.002,2.6,0.08,1.93,0.09,1.78,0.1,0.98,0.07,0.71,0.06,0.57,0.05,4.03,0.07,0.0238,0.0015,0.0306,0.0013
207,B229-G282,-0.087,0.008,-0.06,0.01,0.02,0.15,1.1,0.24,0.04,0.34,0.19,0.16,0.64,0.24,-0.08,0.32,2.54,0.12,0.91,0.27,0.0173,0.0026,0.0605,0.003,0.88,0.13,0.57,0.14,0.61,0.17,0.62,0.12,0.3,0.1,0.15,0.1,0.88,0.13,0.0084,0.0028,0.0017,0.0023
208,B230-G283,-0.084,0.002,-0.062,0.003,0.19,0.04,1.57,0.07,-0.08,0.1,0.02,0.05,0.93,0.08,0.31,0.11,2.53,0.04,0.94,0.1,0.0132,0.0009,0.0507,0.0011,0.73,0.04,0.74,0.05,0.65,0.06,0.29,0.04,0.21,0.03,0.05,0.03,1.01,0.04,0.0053,0.0009,-0.0003,0.0008
209,B231-G285,-0.026,0.006,-0.002,0.007,0.52,0.12,3.56,0.19,1.65,0.29,0.41,0.14,2.54,0.2,1.54,0.29,1.96,0.12,2.88,0.24,0.035,0.0024,0.1215,0.0028,1.83,0.11,1.59,0.13,1.4,0.15,1.0,0.11,0.56,0.09,0.23,0.08,1.84,0.12,0.0199,0.0024,0.0208,0.002
210,B232-G286,-0.087,0.001,-0.065,0.002,0.19,0.03,1.63,0.05,0.26,0.07,0.16,0.04,0.84,0.05,0.26,0.08,2.54,0.03,1.15,0.06,0.0132,0.0006,0.0502,0.0007,0.67,0.03,0.68,0.03,0.62,0.04,0.29,0.03,0.23,0.02,0.17,0.02,1.65,0.03,0.005,0.0006,0.0025,0.0005
211,B233-G287,-0.028,0.003,0.001,0.004,0.38,0.05,3.2,0.08,1.38,0.11,0.3,0.05,2.16,0.08,1.31,0.1,2.11,0.04,2.73,0.09,0.0426,0.0009,0.1167,0.001,1.61,0.04,1.48,0.05,1.3,0.05,0.82,0.04,0.51,0.03,0.34,0.03,1.87,0.04,0.0156,0.0008,0.0174,0.0007
212,B234-G290,0.014,0.008,0.041,0.01,0.59,0.15,4.28,0.24,2.65,0.36,0.61,0.18,2.74,0.25,2.21,0.36,1.54,0.15,3.61,0.3,0.0567,0.0031,0.1577,0.0036,2.35,0.14,1.96,0.16,1.57,0.18,0.98,0.14,0.68,0.11,0.61,0.1,2.03,0.14,0.0245,0.0029,0.0447,0.0024
213,B235-G297,0.006,0.004,0.032,0.004,0.67,0.07,3.76,0.1,2.48,0.13,0.68,0.07,2.38,0.1,2.11,0.13,1.9,0.05,3.16,0.11,0.0433,0.0011,0.146,0.0013,2.45,0.05,1.82,0.06,1.45,0.07,1.03,0.05,0.67,0.04,0.48,0.04,2.27,0.05,0.0336,0.0011,0.0581,0.0009
214,B236-G298,-0.084,0.006,-0.062,0.007,0.13,0.12,1.4,0.19,0.5,0.29,0.19,0.14,0.84,0.22,-0.04,0.31,2.72,0.11,1.34,0.25,0.0177,0.0024,0.0585,0.0027,0.73,0.11,0.93,0.13,0.87,0.15,0.32,0.11,0.23,0.08,0.13,0.08,1.3,0.11,0.0087,0.0023,0.0004,0.0019
215,B237-G299,-0.09,0.005,-0.062,0.006,0.1,0.1,0.89,0.17,-0.11,0.26,0.18,0.12,1.07,0.19,0.31,0.27,2.75,0.1,1.45,0.23,0.0123,0.0022,0.0493,0.0025,0.58,0.11,0.8,0.12,0.69,0.14,0.36,0.1,0.26,0.08,0.21,0.08,2.21,0.11,0.005,0.0024,-0.0011,0.002
216,B238-G301,0.001,0.003,0.022,0.004,0.59,0.07,4.3,0.1,2.22,0.15,0.67,0.07,2.51,0.11,1.7,0.15,1.6,0.06,3.45,0.12,0.0457,0.0012,0.1431,0.0014,2.26,0.06,1.96,0.06,1.63,0.07,0.98,0.05,0.58,0.04,0.44,0.04,1.87,0.05,0.0223,0.0012,0.034,0.001
217,B239-M74,-0.027,0.011,0.003,0.013,0.46,0.19,3.32,0.3,1.4,0.45,0.49,0.21,1.67,0.29,1.42,0.4,2.12,0.15,2.62,0.3,0.0352,0.0029,0.1131,0.0033,1.64,0.14,1.58,0.15,1.53,0.17,0.94,0.12,0.52,0.09,0.33,0.09,2.02,0.12,0.0153,0.0025,0.0201,0.0021
218,B240-G302,-0.068,0.001,-0.044,0.001,0.26,0.02,2.18,0.03,0.62,0.05,0.21,0.03,1.42,0.04,0.66,0.06,2.45,0.02,1.85,0.05,0.0224,0.0005,0.0717,0.0005,0.98,0.02,1.04,0.02,0.77,0.03,0.49,0.02,0.29,0.02,0.17,0.02,1.38,0.02,0.0093,0.0004,0.0048,0.0004
219,B244,-0.085,0.013,-0.066,0.017,0.21,0.25,2.71,0.41,0.81,0.71,0.37,0.31,0.45,0.46,0.32,0.66,2.2,0.26,2.22,0.54,0.0196,0.0054,0.0838,0.0062,1.09,0.26,1.1,0.29,0.91,0.34,0.55,0.25,0.65,0.22,0.24,0.21,0.23,0.35,-0.002,0.0063,0.0149,0.005
220,B246,-0.027,0.028,-0.013,0.035,0.16,0.5,5.07,0.81,3.05,1.24,0.8,0.56,3.12,0.75,5.45,1.03,1.52,0.44,3.47,0.87,0.0744,0.0089,0.184,0.0106,2.84,0.42,2.24,0.46,1.32,0.53,1.91,0.38,1.09,0.32,0.59,0.31,2.18,0.48,0.0289,0.0093,0.0307,0.0076
221,B248,-0.062,0.009,-0.039,0.012,0.28,0.18,2.53,0.29,0.83,0.47,0.27,0.21,1.5,0.31,1.33,0.43,2.45,0.16,2.03,0.34,0.0309,0.0034,0.0868,0.0038,1.3,0.16,1.07,0.18,0.94,0.2,0.58,0.15,0.28,0.12,0.34,0.11,2.85,0.16,0.0122,0.0033,0.011,0.0027
222,B249,0.148,0.029,0.17,0.036,0.64,0.5,6.3,0.72,5.48,1.06,1.41,0.47,3.62,0.64,8.27,0.85,1.74,0.36,5.69,0.7,0.1377,0.0074,0.3026,0.009,4.61,0.34,2.97,0.35,3.19,0.39,1.79,0.29,1.04,0.24,1.18,0.22,5.7,0.32,0.0309,0.0066,0.0862,0.0054
223,B254,-0.03,0.013,-0.007,0.016,0.25,0.25,2.62,0.41,1.15,0.64,0.28,0.29,2.12,0.42,1.95,0.6,2.41,0.23,1.43,0.49,0.0526,0.0048,0.1303,0.0056,1.79,0.23,1.49,0.25,1.66,0.28,0.94,0.21,0.67,0.17,0.47,0.16,3.6,0.23,0.0176,0.0046,0.0201,0.0037
224,B257-V219,0.089,0.01,0.108,0.012,0.82,0.17,5.42,0.25,3.27,0.38,1.04,0.17,3.02,0.23,4.04,0.31,1.4,0.12,4.69,0.24,0.0873,0.0024,0.2305,0.0028,3.69,0.11,2.54,0.11,2.26,0.13,1.5,0.09,0.92,0.07,0.88,0.06,4.21,0.09,0.0397,0.0019,0.0759,0.0015
225,B260,-0.04,0.045,-0.002,0.056,0.51,0.81,4.32,1.24,2.97,1.86,1.27,0.79,5.03,1.02,3.34,1.44,1.16,0.56,3.24,0.99,0.0712,0.0095,0.1938,0.0109,3.04,0.43,2.37,0.44,1.62,0.49,1.61,0.35,1.28,0.24,0.98,0.23,1.98,0.35,0.0403,0.0065,0.0745,0.005
226,B262,-0.073,0.013,-0.051,0.017,0.18,0.27,2.68,0.43,-0.14,0.72,0.09,0.36,1.62,0.53,0.4,0.8,3.2,0.31,1.16,0.68,0.0171,0.0067,0.0793,0.0076,0.86,0.32,1.36,0.37,0.81,0.44,0.43,0.33,0.28,0.26,0.05,0.26,1.47,0.34,0.0295,0.0074,0.0064,0.0062
227,B264-NB19,-0.056,0.022,-0.031,0.027,0.1,0.44,2.01,0.74,1.01,1.15,0.28,0.6,1.16,0.94,0.62,1.38,2.8,0.54,0.61,1.17,-0.013,0.0112,0.0358,0.0125,-0.01,0.53,0.44,0.62,0.39,0.74,0.76,0.54,0.77,0.41,-0.17,0.41,1.57,0.51,0.024,0.0117,0.01,0.0097
228,B265,0.043,0.018,0.073,0.022,1.36,0.32,4.94,0.49,2.74,0.76,1.01,0.36,2.33,0.51,2.77,0.72,1.75,0.28,3.91,0.55,0.0481,0.0056,0.1634,0.0066,2.59,0.26,1.69,0.28,1.79,0.32,0.94,0.24,0.38,0.19,0.46,0.18,1.46,0.26,0.0205,0.0052,0.0531,0.0042
229,B266,0.008,0.016,0.019,0.02,0.95,0.29,3.76,0.45,1.94,0.7,0.36,0.31,2.35,0.43,0.88,0.61,1.37,0.23,3.06,0.45,0.055,0.0045,0.136,0.0051,1.99,0.21,1.37,0.22,1.5,0.25,1.11,0.18,0.89,0.14,0.67,0.14,2.89,0.2,0.0131,0.0039,0.0321,0.0031
230,B268,0.015,0.026,0.051,0.032,0.51,0.46,5.21,0.74,4.21,1.1,0.99,0.52,2.58,0.74,2.97,1.04,1.96,0.41,4.3,0.83,0.0681,0.0084,0.22,0.0101,3.51,0.39,2.56,0.42,2.35,0.48,1.45,0.35,0.7,0.29,0.64,0.28,2.63,0.41,0.0632,0.0082,0.0939,0.0066
231,B269,-0.032,0.014,-0.017,0.018,0.55,0.27,4.65,0.42,2.33,0.67,0.82,0.3,2.37,0.42,1.49,0.59,1.95,0.22,3.41,0.45,0.0651,0.0044,0.159,0.0051,2.32,0.2,1.87,0.22,1.6,0.25,1.07,0.18,0.51,0.14,0.7,0.13,3.56,0.18,0.0206,0.0038,0.0346,0.003
232,B272-V294,0.037,0.019,0.074,0.023,0.75,0.34,5.31,0.52,2.71,0.81,0.59,0.36,2.31,0.5,2.76,0.7,1.71,0.28,4.35,0.54,0.0697,0.0054,0.1872,0.0064,3.28,0.25,1.83,0.27,1.38,0.31,1.29,0.23,0.74,0.18,0.59,0.17,4.54,0.25,0.0413,0.005,0.0568,0.004
233,B279-D068,0.12,0.021,0.162,0.025,0.31,0.37,5.36,0.53,4.46,0.74,1.57,0.33,3.94,0.46,4.78,0.64,1.31,0.26,4.45,0.52,0.125,0.0054,0.2863,0.0065,4.91,0.24,2.67,0.26,2.77,0.29,1.85,0.22,0.85,0.18,0.83,0.17,4.23,0.24,0.037,0.005,0.0602,0.0041
234,B283-G296,-0.014,0.013,0.004,0.017,0.7,0.26,4.87,0.39,2.79,0.58,0.84,0.29,2.3,0.41,2.49,0.57,1.52,0.22,2.97,0.44,0.0446,0.0044,0.147,0.0051,2.49,0.2,1.91,0.22,1.57,0.25,1.06,0.19,0.83,0.14,0.55,0.13,1.77,0.19,0.0247,0.0039,0.0572,0.0032
235,B287,-0.098,0.021,-0.096,0.028,0.49,0.41,2.17,0.73,2.93,1.18,0.27,0.52,1.27,0.76,-0.44,1.12,2.18,0.42,1.13,0.9,0.0067,0.0089,0.0866,0.0103,1.6,0.42,0.6,0.47,1.41,0.55,0.69,0.41,0.53,0.37,0.24,0.35,2.04,0.54,-0.0008,0.0105,0.0177,0.0083
236,B291-G009,-0.061,0.007,-0.036,0.008,0.46,0.13,3.04,0.21,1.45,0.34,0.41,0.17,1.85,0.24,1.36,0.35,2.28,0.14,2.21,0.29,0.0328,0.0029,0.0966,0.0034,1.58,0.14,1.31,0.15,1.2,0.18,0.7,0.13,0.44,0.11,0.4,0.1,0.98,0.14,0.0149,0.0029,0.0218,0.0024
237,B295-G014,-0.094,0.005,-0.073,0.007,0.22,0.11,1.43,0.19,-0.19,0.3,-0.07,0.15,0.95,0.22,0.65,0.32,2.32,0.12,0.94,0.27,0.01,0.0027,0.0506,0.0031,0.61,0.13,0.67,0.15,0.88,0.17,0.11,0.13,0.13,0.1,0.18,0.1,1.26,0.13,0.0085,0.0029,-0.0052,0.0024
238,B301-G022,0.017,0.007,0.033,0.009,0.38,0.14,4.23,0.21,1.77,0.33,0.48,0.16,2.33,0.22,2.04,0.32,1.65,0.13,3.77,0.26,0.0534,0.0026,0.1459,0.0031,2.27,0.12,1.69,0.14,1.58,0.16,1.0,0.12,0.61,0.09,0.39,0.09,2.22,0.12,0.0321,0.0025,0.0542,0.0021
239,B302-G023,-0.079,0.01,-0.063,0.013,0.51,0.19,2.1,0.32,1.84,0.52,0.25,0.25,1.23,0.36,0.69,0.53,2.35,0.2,1.68,0.44,0.0196,0.0044,0.0773,0.005,1.19,0.21,1.22,0.23,0.55,0.27,0.57,0.2,0.18,0.18,0.27,0.17,0.44,0.27,0.008,0.005,0.013,0.0039
240,B304-G028,-0.07,0.007,-0.043,0.009,0.21,0.13,2.23,0.22,0.29,0.36,0.24,0.17,1.4,0.25,1.49,0.35,2.5,0.14,1.97,0.3,0.02,0.0029,0.0817,0.0034,1.2,0.14,1.1,0.16,1.06,0.18,0.58,0.14,0.48,0.11,0.26,0.11,1.31,0.16,0.0116,0.0031,0.01,0.0026
241,B306-G029,-0.012,0.008,0.011,0.01,0.44,0.15,3.92,0.23,2.5,0.34,0.59,0.16,2.16,0.23,1.38,0.31,1.91,0.12,3.12,0.23,0.0366,0.0023,0.1184,0.0026,1.9,0.1,1.48,0.11,1.2,0.13,0.98,0.09,0.79,0.07,0.75,0.07,3.3,0.08,0.016,0.0018,0.0345,0.0015
242,B309-G031,-0.051,0.014,-0.017,0.017,0.53,0.26,2.32,0.43,0.32,0.7,0.02,0.31,1.25,0.46,0.43,0.66,2.6,0.24,2.57,0.52,0.0375,0.0052,0.0804,0.006,0.97,0.25,1.41,0.27,0.94,0.32,0.22,0.24,0.47,0.19,-0.08,0.19,2.12,0.26,0.0281,0.0053,0.0031,0.0043
243,B310-G032,-0.082,0.005,-0.056,0.006,0.31,0.1,1.96,0.17,1.5,0.26,0.03,0.12,1.31,0.19,0.94,0.27,2.59,0.1,1.77,0.23,0.0175,0.0022,0.0677,0.0026,1.05,0.11,0.97,0.12,0.9,0.14,0.46,0.11,0.33,0.09,0.15,0.08,0.99,0.13,0.0051,0.0024,0.0017,0.002
244,B311-G033,-0.078,0.004,-0.056,0.005,0.16,0.08,1.72,0.14,0.44,0.21,0.14,0.1,1.05,0.15,0.11,0.22,2.44,0.08,1.1,0.18,0.0208,0.0018,0.0627,0.002,0.75,0.08,0.77,0.09,0.64,0.11,0.3,0.08,0.17,0.06,0.19,0.06,2.32,0.07,0.005,0.0016,0.0005,0.0013
245,B312-G035,-0.043,0.002,-0.02,0.003,0.32,0.05,2.98,0.07,1.44,0.11,0.35,0.06,1.93,0.08,1.1,0.12,2.23,0.04,2.5,0.09,0.028,0.0009,0.0964,0.0011,1.46,0.04,1.41,0.05,1.17,0.06,0.68,0.04,0.46,0.03,0.3,0.03,2.29,0.04,0.0134,0.0008,0.0183,0.0007
246,B313-G036,-0.003,0.006,0.02,0.007,0.51,0.11,3.88,0.17,1.35,0.26,0.5,0.12,2.27,0.17,1.94,0.24,1.64,0.09,3.45,0.18,0.0421,0.0018,0.139,0.0021,2.19,0.09,1.5,0.09,1.47,0.11,0.81,0.08,0.69,0.06,0.62,0.06,2.9,0.08,0.0205,0.0016,0.0297,0.0014
247,B317-G041,-0.091,0.004,-0.072,0.005,0.13,0.08,1.37,0.14,0.06,0.21,0.06,0.1,0.89,0.15,-0.55,0.23,2.62,0.09,0.68,0.19,0.0117,0.0019,0.0448,0.0021,0.68,0.09,0.57,0.1,0.57,0.12,0.29,0.09,0.05,0.07,0.24,0.07,0.92,0.09,0.0156,0.0019,-0.0003,0.0016
248,B328-G054,-0.087,0.009,-0.069,0.011,0.22,0.17,2.16,0.28,1.01,0.43,0.18,0.21,1.38,0.3,1.31,0.43,2.57,0.17,2.62,0.35,0.0258,0.0036,0.0803,0.0041,1.27,0.17,1.19,0.19,1.33,0.22,0.83,0.16,0.65,0.13,0.26,0.13,1.89,0.18,0.012,0.0037,0.0059,0.003
249,B330-G056,-0.071,0.007,-0.047,0.009,0.51,0.14,1.63,0.25,0.72,0.38,0.31,0.18,1.66,0.27,1.92,0.38,2.36,0.15,1.61,0.32,0.0219,0.0032,0.073,0.0037,0.97,0.15,0.91,0.17,1.01,0.2,0.62,0.15,0.4,0.12,0.21,0.11,1.47,0.17,0.0099,0.0033,0.0049,0.0027
