,HD,Tel,Ca4227,G4300,HgF,Fe4383,Fe 4531,Fe 4668,Hb,Fe 5015,Mg2,Mgb,Fe5270,Fe 5406,NaD
154,136923,N,1.87,6.52,-1.67,5.59,3.2,4.0,1.76,3.45,0.219,4.54,2.7,1.64,2.16
155,137510,N,0.113,2.9,2.53,3.35,2.52,4.37,3.37,5.73,0.125,2.3,2.15,0.994,1.43
156,137510,K,0.435,4.84,0.604,3.04,3.13,4.69,3.25,5.29,0.108,1.62,1.99,0.855,1.62
157,137778,K,2.44,5.86,-1.55,8.1,4.21,6.46,1.43,6.59,0.315,5.48,3.93,2.63,4.67
158,138573,N,0.847,5.39,-0.569,4.23,2.37,3.43,2.44,3.05,0.142,2.56,2.25,1.07,1.56
159,139323,N,3.2,6.5,-3.09,8.44,4.57,8.86,1.29,8.03,0.395,6.65,4.64,3.15,4.72
160,139324,N,0.755,5.02,0.24,2.99,2.55,3.57,2.89,5.18,0.116,1.96,2.08,1.01,1.45
161,139324,K,0.52,4.8,-0.0381,3.86,2.6,3.43,2.98,4.55,0.113,1.93,1.88,0.781,1.55
162,139457,N,0.429,3.02,1.71,1.7,1.84,0.496,2.97,1.52,0.0706,1.36,1.21,0.523,1.05
163,139457,K,0.32,3.49,1.68,1.34,1.78,0.464,3.15,2.54,0.0648,1.02,1.13,0.242,0.922
164,142229,N,0.951,4.46,0.391,3.33,2.04,-1.09,2.53,4.57,0.12,2.21,2.34,1.11,1.67
165,142229,N,0.731,3.89,0.787,2.27,2.31,2.01,2.74,4.6,0.109,2.53,2.32,0.962,1.61
166,142229,K,0.807,4.39,0.0796,3.58,2.68,2.67,2.71,4.24,0.105,1.96,1.78,0.888,1.55
167,142373,N,0.154,4.51,0.52,1.84,1.84,0.574,2.28,3.11,0.0841,1.52,1.45,0.467,1.06
168,143291,N,1.66,6.33,-1.58,5.31,2.63,-0.778,1.59,4.12,0.227,4.8,2.49,1.42,1.94
169,143291,N,1.46,6.08,-1.2,4.43,2.43,2.93,1.26,4.06,0.226,5.64,2.61,1.52,2.03
170,143761,N,0.794,4.66,0.0369,2.62,2.14,1.82,2.41,3.74,0.108,2.27,1.38,0.399,1.05
171,143761,K,0.66,4.76,-0.191,3.09,2.25,1.79,2.44,3.59,0.101,2.11,1.37,0.637,1.19
172,144579,N,1.58,5.76,-2.31,3.97,2.05,1.86,1.38,2.2,0.208,5.12,1.77,0.893,1.69
173,145229,N,0.652,3.96,0.453,2.64,2.66,1.48,2.58,3.98,0.104,2.09,1.62,0.624,1.33
174,148467,N,6.14,4.73,-1.52,8.05,5.68,-2.99,1.79,4.73,0.581,9.23,5.04,4.04,8.8
175,148467,K,6.91,5.55,-1.35,8.63,5.56,-3.24,1.33,5.9,0.559,8.38,5.0,3.91,9.8
176,149200,K,0.6,2.9,2.35,2.32,2.4,2.07,3.73,4.0,0.0665,1.37,1.38,0.521,1.04
177,149652,N,0.435,2.84,2.35,1.57,1.77,0.811,3.6,2.95,0.0745,0.941,1.48,0.49,0.964
178,149661,N,1.43,6.35,-1.01,5.66,3.35,4.51,1.42,5.62,0.27,5.39,3.31,2.05,2.95
179,149806,N,1.6,6.74,-1.64,6.86,3.34,6.78,1.76,4.03,0.27,5.42,3.32,2.1,3.04
180,150933,N,0.841,3.88,1.33,2.6,2.37,2.46,3.29,4.49,0.104,1.67,1.64,0.721,1.3
181,151044,N,0.709,3.75,1.64,2.16,2.02,1.72,3.15,3.86,0.0922,1.47,1.59,0.708,1.01
182,151090,N,1.4,7.6,-1.85,5.66,2.76,4.18,1.22,4.67,0.2,3.82,2.36,1.28,1.51
183,151090,K,1.25,6.02,-1.86,5.27,3.21,4.44,1.31,4.7,0.203,3.74,2.62,1.51,1.93
184,151090,K,1.22,6.16,-1.62,5.21,3.19,4.76,1.3,4.4,0.202,3.9,2.74,1.51,2.01
185,151288,N,7.44,5.26,-1.32,8.42,5.26,-2.21,1.25,6.5,0.552,7.86,5.07,4.29,10.8
186,151877,N,2.31,6.98,-1.78,5.78,2.84,4.28,1.61,5.78,0.264,5.39,3.29,1.7,2.73
187,151877,K,1.96,5.58,-1.54,6.58,3.39,3.9,1.46,5.11,0.25,5.34,3.36,1.97,3.06
188,152446,N,0.575,2.68,1.96,1.8,1.8,1.49,3.4,3.68,0.0746,1.17,1.19,0.355,0.936
189,152446,N,0.508,2.77,1.96,1.12,1.79,0.8,3.3,3.71,0.0851,1.15,1.37,0.445,1.02
190,152792,K,0.5,5.06,-0.609,3.29,2.19,1.54,2.21,3.38,0.091,1.77,1.48,0.587,1.17
191,153627,N,0.612,4.29,0.859,2.63,1.75,0.733,2.91,3.66,0.0985,1.56,1.59,0.496,0.975
192,154160,N,0.861,5.62,-1.48,4.78,3.02,7.6,2.49,3.82,0.166,2.69,2.49,1.24,1.77
193,154160,N,0.546,5.75,-1.16,4.2,2.76,7.51,2.48,6.46,0.189,3.35,2.92,1.53,2.14
194,154345,N,1.25,5.5,-1.56,4.24,2.64,3.24,1.93,4.84,0.196,3.97,2.48,1.43,2.04
195,154363,K,6.56,5.56,-1.72,7.37,4.63,-2.61,1.09,5.84,0.592,9.59,4.5,3.19,8.28
196,154363,K,6.34,5.12,-1.56,7.34,4.6,-2.32,1.04,5.79,0.6,9.84,4.44,3.12,8.25
197,154417,N,0.85,3.9,1.02,2.98,2.27,1.73,3.12,4.67,0.101,1.87,1.92,0.844,1.08
198,155060,N,0.843,3.99,1.01,2.18,2.07,1.37,2.98,2.76,0.0942,1.67,1.55,0.637,1.06
199,155423,N,0.666,3.37,1.97,2.38,2.23,2.92,3.66,5.1,0.0988,1.53,1.76,0.503,1.17
200,156826,K,0.889,6.1,-1.82,5.24,3.04,3.78,1.41,4.41,0.157,3.3,2.61,1.35,2.06
201,157214,N,1.06,5.19,-0.397,2.93,2.14,2.31,2.35,3.95,0.126,2.8,1.42,0.555,1.08
202,157466,N,0.569,3.14,1.54,1.63,1.58,0.757,2.94,1.87,0.0795,1.41,0.897,0.384,0.923
203,157881,N,6.62,4.62,-1.48,7.86,5.57,-3.13,1.13,5.54,0.545,7.68,5.01,3.8,10.7
204,157881,K,6.36,4.86,-1.2,7.67,5.5,-3.11,1.3,5.79,0.529,7.18,5.14,4.0,12.3
205,157881,K,6.33,4.73,-1.15,7.05,5.53,-3.08,1.28,5.81,0.526,7.15,5.24,4.03,12.5
206,159063,N,0.642,3.14,2.39,2.04,2.28,2.43,3.85,4.98,0.0943,1.48,1.63,0.66,1.15
207,159222,N,0.952,4.78,0.0173,4.02,2.33,3.39,2.76,4.77,0.123,2.04,1.95,0.816,1.38
208,159909,N,1.11,5.46,-0.78,3.87,2.8,4.73,2.65,5.26,0.155,2.85,2.16,1.09,1.64
209,160693,N,0.72,5.07,-0.0442,2.57,1.71,1.08,2.5,3.8,0.106,1.92,1.05,0.316,0.899
210,161797,N,1.03,5.2,-1.12,4.49,2.9,7.12,2.48,5.98,0.174,2.77,2.75,1.49,1.9
211,161848,N,2.42,6.78,-1.76,5.88,3.1,2.47,1.27,4.24,0.314,6.52,3.28,1.76,2.51
212,162826,N,0.786,3.36,1.68,1.79,1.99,1.83,3.14,3.78,0.0809,1.26,1.31,0.539,0.883
213,164507,K,0.694,5.66,-1.45,4.58,3.02,4.94,2.26,4.97,0.126,2.25,2.31,1.12,1.68
214,164922,N,1.96,5.72,-1.89,6.33,3.26,5.38,1.79,4.0,0.245,4.62,3.22,1.85,2.31
215,165567,N,0.473,2.45,2.72,1.43,1.9,1.47,3.61,3.38,0.0681,0.918,1.12,0.245,0.756
216,165567,K,0.336,2.6,2.52,1.81,2.25,1.33,3.83,3.69,0.0607,0.851,1.19,0.421,1.03
217,166435,N,1.13,4.64,-0.0214,3.2,2.57,2.46,2.56,4.63,0.126,2.17,2.16,1.03,1.53
218,167215,N,0.395,2.99,2.13,1.1,1.49,-0.119,3.31,3.25,0.0707,0.933,1.18,0.711,1.07
219,167389,N,1.06,4.61,0.42,3.02,2.34,2.57,2.87,4.32,0.119,2.23,1.9,0.737,1.2
220,169822,N,1.23,5.87,-1.24,4.26,2.38,3.02,1.92,3.52,0.17,3.28,2.42,1.35,1.85
221,169822,N,0.869,5.36,-1.21,3.82,2.15,3.01,2.13,3.97,0.166,3.66,2.29,1.03,1.93
222,170469,N,0.839,5.58,-0.639,4.03,3.11,5.15,2.87,3.05,0.16,2.65,2.53,1.07,1.9
223,170469,K,0.66,5.17,-0.642,4.66,3.01,6.03,2.8,5.24,0.15,2.92,2.38,1.17,2.15
224,170778,K,0.819,3.94,0.209,3.62,2.56,1.93,2.8,3.78,0.0992,1.79,1.72,0.8,1.37
225,170829,N,1.08,6.2,-2.05,5.18,2.81,5.78,1.98,4.74,0.158,2.7,2.3,1.12,1.46
226,170829,K,0.81,5.92,-2.53,5.61,3.07,5.98,2.0,5.07,0.167,2.86,2.74,1.4,2.05
227,171067,N,1.35,5.11,-0.869,4.24,2.57,3.0,2.38,4.53,0.156,3.05,2.42,1.13,1.63
228,171918,K,0.681,5.69,-1.2,4.84,3.12,4.91,2.7,4.92,0.139,2.19,2.2,1.09,1.84
229,172310,N,1.31,5.75,-2.21,4.57,2.19,2.26,1.58,2.98,0.178,4.32,2.51,0.998,1.93
230,173701,N,1.53,7.19,-1.76,5.94,3.69,8.35,2.05,3.75,0.281,5.07,3.53,2.07,3.41
231,173818,K,6.73,4.64,-1.18,7.6,5.47,-3.02,1.13,5.05,0.531,7.9,4.75,3.58,9.74
232,174080,N,4.64,6.77,-1.76,9.49,4.94,-0.862,1.76,5.01,0.502,8.53,5.08,3.82,6.56
233,174080,K,5.08,5.38,-1.6,9.32,5.03,-1.85,1.68,6.41,0.483,8.34,4.98,3.68,7.63
234,174457,N,0.799,4.45,0.574,2.69,1.98,1.49,2.63,3.9,0.111,1.88,1.55,0.714,1.27
235,174912,N,0.515,3.49,0.731,2.2,1.77,0.81,2.64,2.94,0.0899,1.66,1.24,0.561,1.05
236,175317,K,0.25,2.03,3.62,1.17,2.1,0.82,4.36,3.34,0.0453,0.59,1.08,0.322,1.23
237,175541,K,0.878,6.42,-1.76,5.53,3.36,4.51,1.44,5.25,0.162,2.65,2.71,1.57,1.97
238,175726,N,0.879,3.52,1.13,2.46,2.05,1.3,2.75,4.04,0.093,1.66,1.44,0.549,1.04
239,176377,N,0.938,4.23,0.262,2.73,1.63,1.24,2.56,2.16,0.109,2.05,1.41,0.562,1.23
240,177830,K,1.78,6.32,-1.92,8.6,4.36,9.67,1.39,7.29,0.343,5.79,4.29,2.94,4.65
241,181655,K,1.03,4.8,-1.02,4.29,2.84,3.82,2.47,4.39,0.143,3.16,2.47,1.16,1.54
242,182488,K,1.41,5.57,-1.7,5.27,3.33,6.27,1.96,5.65,0.24,5.06,3.39,1.83,3.04
243,183650,N,0.0009,5.23,-0.752,3.66,2.6,6.27,2.54,6.14,0.183,2.95,2.96,1.33,2.04
244,183650,N,0.537,2.54,2.15,4.23,3.19,6.44,2.47,5.87,0.183,3.7,2.77,1.27,2.03
245,183650,K,0.527,5.68,-1.32,4.72,3.12,6.94,2.69,5.15,0.171,2.95,2.92,1.2,2.18
246,183658,N,0.691,4.89,-0.343,3.31,2.34,3.42,2.61,4.92,0.145,2.78,2.22,0.953,1.57
247,184385,N,0.918,3.35,1.58,4.33,2.72,4.25,2.11,5.2,0.196,3.54,2.95,1.46,2.08
248,184860,N,2.09,3.76,2.51,6.87,3.64,3.58,0.609,5.09,0.445,7.97,4.37,2.86,4.77
249,188512,K,0.981,6.39,-1.59,5.77,3.2,4.46,1.52,4.81,0.174,3.17,2.67,1.4,1.98
250,189067,K,0.642,5.04,0.156,2.45,2.55,3.01,2.9,3.86,0.105,1.65,1.68,0.762,1.03
251,190007,K,5.61,5.48,-1.36,8.93,5.49,-1.99,1.56,6.43,0.524,8.17,5.07,3.92,8.79
252,190067,N,1.48,5.62,-1.71,4.46,2.72,2.65,1.75,4.35,0.195,4.39,2.48,1.33,1.98
253,190228,N,0.853,6.28,-1.93,4.35,2.37,3.61,1.5,4.31,0.157,2.72,2.44,1.26,1.59
254,190228,K,0.837,6.26,-2.68,4.92,2.94,3.38,1.69,4.37,0.145,2.78,2.28,1.15,1.64
255,190360,K,0.822,5.37,-1.9,5.37,3.31,6.5,2.36,5.39,0.196,3.46,2.79,1.41,2.06
256,190771,K,1.01,4.5,-0.471,4.13,2.97,3.73,2.65,4.6,0.133,2.61,2.35,1.14,1.47
257,191022,K,0.597,5.05,-0.12,2.82,2.8,3.44,2.79,4.45,0.116,2.06,2.14,0.856,1.58
258,192343,K,0.675,5.37,-0.533,3.44,2.89,5.1,2.87,4.95,0.138,2.17,2.34,1.01,1.67
259,194035,N,0.908,5.93,-0.953,4.15,2.78,5.81,2.36,5.43,0.148,2.53,2.6,1.28,1.49
260,195019,N,0.928,4.85,-0.288,3.24,2.56,3.06,2.36,4.76,0.125,2.17,2.13,1.01,1.32
261,195104,N,0.73,2.65,1.95,1.78,2.03,1.53,3.31,3.74,0.0813,1.4,1.27,0.579,1.08
262,196201,N,1.17,5.61,-1.47,4.26,3.07,3.14,1.66,4.13,0.192,3.8,2.61,1.53,2.25
263,196850,N,0.874,4.28,0.11,3.09,2.4,2.59,2.47,4.13,0.112,2.21,1.79,0.789,1.27
264,196885,N,0.823,3.07,2.02,2.04,2.44,2.54,3.33,3.91,0.0786,1.35,1.42,0.471,1.04
265,197076,N,0.965,4.56,0.141,2.99,2.19,2.21,2.4,3.72,0.106,2.07,1.6,0.589,1.16
266,198089,N,0.718,4.31,0.172,2.47,2.17,1.67,2.87,3.8,0.107,2.08,1.69,0.796,1.37
267,198387,K,1.15,6.33,-1.61,6.13,3.33,5.05,1.33,5.14,0.198,3.68,2.85,1.67,2.0
268,198802,K,0.426,5.59,-0.654,3.69,2.71,3.13,2.59,4.22,0.102,1.49,2.05,0.769,1.44
269,199598,N,0.874,3.95,0.979,3.3,2.39,3.16,2.91,4.51,0.11,1.9,1.8,0.908,1.3
270,202108,K,0.94,4.93,-0.92,3.75,2.54,2.07,2.28,3.6,0.123,2.34,1.99,0.865,1.29
271,202575,K,4.72,5.3,-1.33,8.8,4.76,3.28,1.48,5.57,0.433,7.73,4.55,3.27,5.79
272,204587,K,6.89,5.32,-1.34,8.12,5.74,-2.82,0.891,5.98,0.579,8.27,5.17,3.82,10.3
273,204587,K,6.94,5.13,-1.27,7.19,5.65,-2.75,0.93,6.1,0.576,8.26,5.16,3.81,10.4
274,207740,K,1.17,5.58,-2.01,5.2,2.99,4.01,2.08,4.63,0.166,2.97,2.27,1.3,1.99
275,207740,K,1.13,5.64,-1.9,5.32,2.9,4.07,2.09,4.69,0.169,2.87,2.54,1.33,2.19
276,208776,K,0.325,4.54,0.603,2.45,2.38,2.13,3.02,3.62,0.0824,1.31,1.6,0.608,1.09
277,208801,K,1.67,6.06,-1.83,6.93,3.86,7.78,1.23,5.8,0.314,5.38,3.65,2.38,3.26
278,209393,K,1.08,5.18,-1.42,4.58,2.78,2.52,2.16,4.11,0.141,2.43,1.92,1.06,1.59
279,210312,K,0.813,5.32,-1.16,5.29,3.23,5.28,2.73,5.35,0.154,2.63,2.36,1.22,2.13
280,210460,K,0.576,5.34,-1.29,3.57,2.67,2.26,1.96,3.8,0.1,1.78,1.78,0.844,1.29
281,210667,K,1.49,6.03,-1.23,6.68,3.74,5.95,1.9,5.96,0.235,4.66,3.3,1.9,2.88
282,211038,K,1.46,6.06,-1.78,5.45,3.33,4.57,1.32,4.62,0.246,5.19,3.04,1.67,2.42
283,211080,K,0.52,5.54,-0.751,4.13,3.14,6.11,2.72,5.23,0.142,2.27,2.45,1.17,1.96
284,211080,K,0.584,5.32,-1.09,4.89,3.21,5.72,2.7,5.68,0.143,2.12,2.54,1.07,2.19
285,213472,K,0.844,5.54,-0.846,4.37,2.95,3.96,2.56,4.88,0.129,1.95,1.98,0.98,1.65
286,213472,K,0.902,5.33,-0.943,4.54,2.87,3.95,2.63,4.63,0.128,2.41,2.17,1.04,1.41
287,216259,K,2.82,5.59,-1.41,5.23,3.06,1.72,0.749,3.74,0.343,6.84,2.86,1.63,3.09
288,217014,K,0.707,4.94,-0.647,4.32,2.93,4.66,2.81,4.47,0.143,2.33,2.52,1.07,1.8
289,218687,N,0.69,3.74,0.395,1.87,2.25,1.87,2.94,4.02,0.101,1.94,1.82,0.998,1.42
290,218687,N,0.69,3.74,0.395,1.87,2.25,1.87,2.94,4.02,0.101,1.94,1.82,0.998,1.42
291,219172,N,0.46,2.99,1.52,1.68,1.99,2.66,3.51,4.41,0.091,1.46,1.62,0.745,1.21
292,219172,N,0.46,2.99,1.52,1.68,1.99,2.66,3.51,4.41,0.091,1.46,1.62,0.745,1.21
293,220339,N,1.66,4.47,1.66,6.57,3.23,-1.41,1.04,4.69,0.346,7.48,3.53,2.25,3.47
294,220339,N,1.66,4.47,1.66,6.57,3.23,-1.41,1.04,4.69,0.346,7.48,3.53,2.25,3.47
295,221146,K,0.571,4.91,-0.266,3.97,2.82,3.2,2.84,4.25,0.117,2.12,1.96,0.848,1.68
296,221830,N,0.541,4.64,0.192,1.91,1.79,1.22,2.25,3.7,0.133,2.79,1.52,1.06,1.06
297,221830,N,0.55,4.03,0.15,1.4,1.87,1.38,2.33,3.47,0.121,2.87,1.37,0.565,1.07
298,221830,N,0.55,4.03,0.15,1.4,1.87,1.38,2.33,3.47,0.121,2.87,1.37,0.565,1.07
299,223084,N,0.597,2.71,1.21,1.32,1.84,1.08,3.01,3.75,0.0813,1.74,2.63,10.4,1.34
300,223084,N,0.597,2.71,1.21,1.32,1.84,1.08,3.01,3.75,0.0813,1.74,2.63,10.4,1.34
301,223498,K,1.05,5.51,-1.97,5.5,3.23,5.68,2.32,5.18,0.187,3.1,2.9,1.46,2.13
302,225261,N,1.25,3.94,1.39,3.3,2.46,1.79,1.37,3.99,0.212,5.45,2.59,1.28,1.92
303,225261,N,1.25,3.94,1.39,3.3,2.46,1.79,1.37,3.99,0.212,5.45,2.59,1.28,1.92
304,230409,K,1.15,5.43,-2.11,3.58,1.92,0.576,1.49,2.62,0.165,3.9,1.53,0.747,1.58
305,233641,N,0.518,3.84,1.58,1.84,2.32,1.63,3.18,3.74,0.0753,0.934,1.64,0.372,1.13
306,281540,K,4.82,5.08,-1.16,6.22,3.58,-1.8,-0.188,4.26,0.502,9.37,3.38,2.19,4.74
